original,abbreviation,count
perversity,perv,1
villainous,villnus,1
clintons,cntns,1
evaporate,evap,1
practiced,prctcd,1
industrial,ndstrl,1
deliberation,dlibatn,1
conjectures,cnjctrs,1
violates,viol8s,1
preferable,pref,1
disallowed,dsallwd,1
viewpoint,vwpt,1
misunderstanding,misundg,1
countryside,cntrysid,1
unsympathetic,UNSYM,1
neurotransmitters,neutrans,1
mountainside,MNTNSIDE,1
chandler,chndlr,1
youngstown,yngstwn,1
individualistic,indvduallistc,1
deployed,dplyd,1
ingredients,ingrd.,1
wisconsin,wisc,2
contiguous,kontiguse,1
swallowed,swallwd,1
exploration,exploration,1
attaching,atachng,1
catalina,catal'a,1
brighten,brigtn,1
monolithic,mnlthc,1
adventurers,adventu,3
insistent,insistnt,2
molested,mlstd,1
comforting,comfrtng,1
acclaimed,accmed,1
empirically,emprcly,1
adroitly,adro,1
deranged,der'd,1
immobile,immob,1
imparting,mprtng,1
trustworthy,tstwty,5
maintenance,maintnce,1
unsightly,unsghtly,2
satisfactorily,satsfctorly,1
staunchest,staunch'st,1
succeeding,sucedng,1
unfinished,ufsd,1
adhesive,adh,1
traditionalists,trad'ists,1
nakedness,nkednes,1
planners,plnnrs,1
documentation,dcumntation,1
strangest,strangy,1
extracurricular,xtrcrriculr,3
analyzes,axs,1
barrington,brrgt,1
harmonica,hrmnca,1
temperatures,tem,1
dyslexia,dyslexia,1
thematically,themtcly,1
chrysler,chryslr,1
mariners,marins,1
cultivars,culti,1
detachment,dtchmnt,1
twenties,TWNT,1
passageway,Pasagwy,1
educationally,educati,5
schoolchildren,sc ch,1
matchbox,matchbox,1
newtonian,newt'n,1
therapist,pist,1
aberrant,abernt,1
snatching,sntchng,1
commonly,comnly,1
evacuees,evacs,1
infrared,infrad,1
irresistible,irrez,1
panoramic,pnrmc,1
subtitled,sbttld,1
thievery,thvry,3
revisions,revizns,1
suspensions,sspnsn,1
misidentified,mzid'd,1
resources,resores,1
secondarily,secndrily,1
stragglers,strglrs,1
innuendo,innuend,1
screenwriters,scrnwrtrs,1
progressively,prgrssv,1
internationally,internat.,1
wellesley,wellsly,1
approximated,approx'd,1
antiaircraft,ntiarcrft,1
feinberg,fnberg,1
expectancy,xpctncy,1
investigation,invstgtn,1
professors,prof,8
kindergarten,kndrgrt,3
releases,rlss,1
manipulation,mnpltn,2
distracting,distraking,1
attendees,attndees,1
circulation,cilat,1
exploratory,exploy,1
roethlisberger,rotlsbeger,1
unsurprising,unsrprsng,1
fulfills,ffills,1
wrestlers,Wrestlr,1
reconstitute,recon,1
restless,rtls,1
fascinates,fascin8s,1
bewildering,bwdig,1
enterprises,entrpris,1
delicate,delct,1
professors,profess,5
peephole,pphole,1
subdivisions,Sbdvsn,1
scavenger,"to vote the garbage use the dumpster ,scavenge",1
hallowed,halwd,1
julianne,jul,1
supplanted,supplant,1
preconceptions,reconcpton,1
commissary,cmmssary,1
conducive,condcv,1
unpacking,Unpkgn,1
rejecting,rejctng,1
unpleasantness,unplsnt.,1
accomplished,accplshd,1
exploration,xplration,2
caucasian,cacn,1
reconstitute,rconsttute,1
unnerved,unnrvd,1
deformity,dfmty,1
surgeries,Srgrys,1
incoming,incomg,1
bellingham,belnghm,1
creosote,COST,1
unreliable,urliab,1
nightclubs,NC,1
incredibly,incre,1
crystals,crystal,1
paranoid,prnd,2
instances,instcs,1
predicated,prdctd,1
attaches,aches,1
generals,gens,1
honorable,hnrble,1
overhauled,service,1
colonization,colniztn,2
armaments,armmts,1
forerunner,forrnr,1
characterize,c'terize,1
echelons,e-leon,1
earnings,erngs,1
emissaries,emsss,1
trapdoor,TRPDR,1
adirondack,adrndck,1
rostenkowski,rstkski,1
tiredness,trdnss,1
carefree,crfre,1
underlining,underlin,1
contradictory,cntrdictry,1
suspense,SUSP,1
multilateral,multeral,1
warriors,wariors,1
freshness,frshnss,1
inexhaustible,nxhstbl,1
wildness,wldnss,1
terrible,terbl,1
deductible,dductbl,1
atmospheric,atmosphrc,1
salacious,sal,1
persecution,pers'n,1
predation,predton,1
appointments,apptmnts,1
thunderbolt,thndrblt,1
sprinted,sprntd,1
excommunicated,excmcad,1
nightmarish,nightmare,1
financing,finng,1
commercials,cmmcls,1
eggplant,eggplnt,1
repulsed,rplsed,2
compartment,cmprtmnt,2
itineraries,itnrs,1
monogamy,monog,1
uplifted,upliftd,1
involving,ivlv,1
ironically,irncally,1
deprivation,dprvn,1
merchandising,mrcdg,1
prospecting,prsp,1
assailant,assnt,1
analytically,antlly,1
suspected,Suspctd,1
formation,frmatn,1
infrequently,infrqntly,1
inaugurated,ingt,1
fecundity,fecundty,1
referred,ref,1
searched,sched,1
kimberly,kmbly,1
stretcher,strchr,2
camcorders,camcdrs,2
martyred,mrtyred,1
editorial,edi,1
inflammation,inflamm,1
stifling,stflng,1
verdicts,verd,1
diverging,divrgng,1
confuses,Cnfses,1
undetected,ndtectd,1
playfulness,playflnss,1
immunity,imunity,1
foolproof,flpr,1
fragility,frglty,2
misconduct,mscndct,1
recalcitrant,recalcnt,1
embargoes,mbrgos,1
collisions,collis,1
scrubbing,scrbbin,1
hercules,hcla,1
sympathetic,sympthtc,1
winnipeg,winipeg,1
familial,Fmlal,1
twenties,20's,1
metaphorically,mtaphrclly,1
preparations,preps,2
deflected,dfctd,1
internally,ntrnally,1
handheld,HH,1
internationally,intnly,7
institutionalize,instl,1
registers,reg,1
progression,prgrssn,1
urbanized,urbnzd,1
intended,int'd,1
bragging,brgng,1
conceptually,cnceptly,1
cascaded,Cscded,1
eviction,evctn,1
chugging,chug,1
mailings,mlngs,1
acceleration,acc.,1
patching,ptchng,1
talkative,tlktve,1
exponentially,xponentlly,1
exterminated,etmd,1
straightforward,easy,1
sarajevo,sarjvo,1
cripples,crppl,1
meetings,mtings,1
separatists,sprtists,1
hawthorn,htrn,1
unsettled,ustld,1
epitomized,eptmz'd,1
manufacturing,manring.,1
mulberry,Mbry,1
refineries,rfns,1
pictured,pictd,1
enveloping,envlpng,1
tribalism,tribalm,1
carriers,crrs,1
synthesizers,SYNTHSZRS,1
flattened,flattnd,1
operative,op've,1
handshakes,hndshk,1
enrollments,nrlmnts,1
citizenry,ctnzry,1
unsteady,ustdy,1
inhaling,inhl,1
geopolitical,geopo,2
militancy,mltancy,1
hardships,hdshps,1
brainwashed,brnwshd,2
localized,lclzd,1
shepherded,shepd,1
redirected,redrectd,1
horsepower,horsepo,1
admonishing,amnsng,1
traumatized,trmtzd,1
shortchanged,shrtchnged,1
southwest,SW,1
hobbling,holing,1
institution,nstitn,1
inspiring,inspirin,1
candidly,cndidy,1
samuelson,samlsn,1
showplace,Shwplce,1
pleading,pledng,1
theological,tlogical,1
ascending,ascdng,1
contaminants,contmnts,1
attentive,attntv,1
firepower,Firpwr,1
alternating,altnt,1
originating,Orgnatng,1
mitterrand,francois,1
darkroom,drkrm,1
obsidian,obs,1
stocking,stckng,1
replying,rplying,1
interrelationships,intrltnshps,1
workplaces,work,1
surrounded,surrdd,1
escalators,scltr,1
molesters,Molstrs,1
echelons,Echlons,1
whittled,whit,1
temporality,Tmprlty,1
iroquois,irqus,1
requesting,rqstg,1
chuckling,chklng,1
abramoff,abrmf,1
incident,incdnt,1
satisfactions,satisfy,1
meditative,medttve,1
confession,cnfssn,1
afterwards,terwards,1
pessimists,pessimists,1
expatriate,Exptrte,1
passages,Pssges,1
specification,details,1
generalizable,gnralzbl,1
typology,typlgy,1
hobbyists,hbts,1
gubernatorial,gbntl,1
interlopers,intlprs,1
conforms,confrms,1
martians,Mrtans,1
unexpected,uxptd,1
adjuster,adj,1
unreported,unrprted,1
underscored,undrscrd,1
triumphs,trumfs,1
conspirators,consprator,1
thoroughfares,Thurghfrs,1
professors,profs,10
transferred,trnsfd,1
farmhouses,frmhses,1
attaching,att'ng,1
persuade,prsde,1
enforced,enf,1
lemonade,nade,1
croaking,ckng,1
plundering,pldrng,1
connects,conns,1
longitude,longitde,1
respects,rspcts,1
descending,dscnding,1
temperaments,TMPRAMNT,1
punishing,punshng,1
interstellar,intstlr,1
exquisite,xquizit,1
scarring,SCRG,1
enrollment,nrllmnt,1
guerrilla,gurla,1
carlisle,carls,1
fourteenth,fortnth,1
inexorably,nxorbly,1
fractures,fractrs,1
infrared,ir,1
memorabilia,memrbla,2
unbeaten,nbtn,1
twinkling,twinkl_g,1
raincoat,rcoat,1
audiovisual,audivsl,1
hindquarters,hidqrts,1
filmmaker,flmker,1
environmentalists,eviomentlst,1
saluting,Sltng,1
attaining,Atning,1
satirist,Satrst,1
consideration,cnsdraton,1
afterlife,beyond,1
internationally,internationally,1
supplanted,sup'ted,1
dichotomy,dchotmy,1
prohibitively,prhbitvly,1
wizardry,Wzdry,1
kristine,xtine,1
separatism,seprtsm,2
enrollment,enrol,1
manifested,maniftd,1
briefcase,brcs,1
disservice,dss,1
unsympathetic,unsmpathtc,1
wildcats,wildc'ts,1
extracurricular,xtraclar,1
ibuprofen,ibpfn,1
earnings,rnings,1
keyboards,kybrds,2
astonishment,astnshmt,1
waterfowl,H2Ofowl,1
transformations,transf,1
unvarnished,unv'd,1
convulsions,convulsions,1
kindergarten,kinder,4
assemblies,asemblee,1
mounting,mount_g,1
manufacturing,manu,1
pesticide,Pestcde,1
plundering,plunding,1
underprivileged,unprvlgd,1
colliding,cold,1
pretends,prtnds,1
persecution,prscutn,2
antarctica,Ant.,1
procedures,prcedures,1
stunningly,stningy,1
jonathan,jon,1
