original,abbreviation,count
academically,acad,8
academically,acadally,1
academically,acadclly,1
academically,academ,1
academically,academi,5
academically,acadlly,3
academically,acadmcly,1
academically,acadmly,1
academically,acdmcll,6
academically,acdmcly,1
academically,acdmlly,1
accelerating,accel.,1
accelerating,acceler,4
accelerating,accelerat,5
accelerating,accelerate,1
accelerating,accelerating,2
accelerating,accelrtg,1
accelerating,accl,1
accelerating,acclg,1
accelerating,acclrng.,1
accelerating,acclrtg,2
accelerating,acclrtn,7
accelerating,acclrtng,2
accelerating,acclting,4
acceleration,acc,9
acceleration,acc'n,1
acceleration,acc.,1
acceleration,accel,4
acceleration,accel'ation,1
acceleration,acceler,2
acceleration,acclrtion,1
acceleration,acclrtn,1
acceleration,pelt,5
adventurers,adventu,3
adventurers,advers,2
adventurers,advntrs,11
adventurers,advntu,1
adventurers,advnturers,2
adventurers,venturer,1
assignments,asigmnts,1
assignments,asmts,2
assignments,asnmnts,1
assignments,assgnmnts,6
assignments,assig,1
assignments,assigmts,1
assignments,assign,6
assignments,assignm,4
assignments,assignments,2
assignments,assing,1
assignments,assments,1
atmospheric,astmphrc,1
atmospheric,atm.,1
atmospheric,atmos,2
atmospheric,atmosph,2
atmospheric,atmospher,1
atmospheric,atmospheric,2
atmospheric,atmosphrc,1
atmospheric,atmpheric,3
atmospheric,atmsp,1
atmospheric,atmsphr,7
atmospheric,atmsphrc,6
atmospheric,atmsprc,1
automotive,auto,12
automotive,autom,1
automotive,automot,1
automotive,automtv,2
automotive,autotive,2
circumstance,circ,8
circumstance,circmstnc,1
circumstance,circmstnce,1
circumstance,circstc,1
circumstance,circstnce,1
circumstance,circums,6
circumstance,crcmstance,1
circumstance,crcstance,2
circumstance,crnmstn,5
collisions,col,1
collisions,collis,1
collisions,collisi,2
collisions,collisns,1
collisions,collsn,2
collisions,collsns,7
colonization,clnoztion,1
colonization,clnzn,2
colonization,clnztn,1
colonization,clnztns,5
colonization,colniztn,2
colonization,colnzation,3
colonization,colnztn,1
colonization,colon,1
colonization,coloniz,3
colonization,colonization,1
colonization,colonztn,4
combustion,cbn,1
combustion,cmb,1
combustion,cmbstn,2
combustion,cmbustn,1
combustion,comb,6
combustion,combstn,5
combustion,combtn,3
combustion,combust,1
combustion,combustion,1
combustion,comstion,1
communicator,cmmnctr,5
communicator,cmmtr,1
communicator,com,4
communicator,comcator,1
communicator,comm,4
communicator,commctr,3
communicator,communi,3
communicator,comun,1
compartment,cmprtmn,3
compartment,cmprtmnt,2
compartment,cmptmnt,2
