original,abbreviation,count
individualistic,individ,6
industrialized,indust,4
manipulation,manipltn,1
interstellar,intrstllr,1
circumstance,circums,6
horsepower,hspwr,3
theological,thelgcl,7
compartment,comprtmnt,1
democratization,dmcrtzt,6
instrumentation,instrumntation,1
kindergarten,kndergrtn,1
observatory,obstory,6
compartment,cmptmnt,2
socialization,socialzation,1
extracurricular,excurr,1
jurisprudence,jurisprud,1
internationally,interna,7
instructional,instnal,1
interdependent,interde,2
individualistic,indvduallistc,1
observatory,obsvtry,2
constellations,constlations,3
constitution,constit,8
constellations,constel,4
exploration,exploration,1
atmospheric,atm.,1
dictatorship,dicttrship,2
socialization,socializtn,1
accelerating,acclrtng,2
locomotive,loco,14
windshield,windshield,1
trustworthy,trwthy,2
instrumentation,1strenrn,1
adventurers,adventu,3
enrollments,enroll,1
undergraduate,ndrgrad,3
academically,acadclly,1
manipulation,mnpltn.,1
instrumentation,instrument,4
jurisprudence,juri,1
explorations,xplortns,3
comprehensive,comp,14
communicator,commctr,3
jurisprudence,jury,1
opposition,oppostn,5
socialization,socializ,1
industrial,ndstrl,1
trustworthy,tstwty,5
socialization,socialaz.,1
transmissions,transmsns,1
atmospheric,astmphrc,1
mechanically,mechly.,1
instructional,instrctnl,3
laboratory,lab,12
instructional,instruct,1
internationally,intrntn,6
academically,acdmlly,1
instrumentation,instrmntatn,3
multifaceted,mltfctd,9
assignments,assigmts,1
interdependent,intrdpndnt,4
university,univ,4
electrical,elec,18
atmospheric,atmsp,1
manufacture,mnfr,1
extracurricular,xcurriclr,1
telescopes,telscps,3
schoolchildren,shlchilden,3
mechanically,mechncly,1
vocational,vocatio,4
dealerships,dlrship,1
circumstance,circ,8
parliamentary,parlmt,2
constellations,constellat,3
industrialized,ind.,1
trustworthy,trstwthy,1
academically,academ,1
enrollments,enrllmnts,4
manufacturing,build,5
decentralized,dectrlzd.,1
educationally,educati,5
internationally,intl,3
extracurricular,xtrcriclr,1
collisions,col,1
stratosphere,stratos,11
interstellar,intrstl,12
microorganisms,micrognsms,1
observatory,obsrvtry,5
comprehension,cmprhns,1
congresswoman,cngswom,1
constitution,const,10
mechanical,mec,1
observatory,obsrvtr,7
telescopes,telescopes,1
compartment,comptmnt,1
windshield,wndshild,2
enrollment,enrlmnt,1
expeditions,expdtns,4
principals,princip,4
graduation,graduat,1
democratization,democra,8
locomotive,lcmtv,2
decentralized,dcentzd,1
socialization,soclztn,2
interstellar,intstel,2
extracurricular,extracrcula,1
meteorological,meteorolog,1
exploration,xplortn,3
exploration,xplrtn,2
dictatorship,dict'ship,1
multifaceted,mulceted,1
circumstance,circmstnc,1
combustion,combust,1
decentralized,decentr,6
microorganisms,mcrorgnsms,1
instructional,instructi,6
internationally,internat.,1
satellites,satllts,4
adventurers,advntu,1
extracurricular,xtracurclr,1
internationally,interntly,1
opposition,opposit,2
kindergarten,kndrgrt,3
atmospheric,atmospher,1
electrical,ele,1
undertaking,undrtking,2
enrollment,'rolment,3
communicator,cmmnctr,5
satellites,sat,2
enrollments,enrollments,2
professors,profs,10
atmospheric,atmsphr,7
automotive,autom,1
undergraduates,undergdts,1
instructional,instruonal,1
manufacturing,manufac'ing,1
professors,prof,8
explorations,explora,7
constitution,cnstution,1
experiments,exprmnt,2
comprehensive,wide,1
acceleration,acc'n,1
congresswoman,congrsswomn,4
decentralized,decentra,1
manipulation,mnpulation,1
undergraduate,undgrad,1
communicator,cmmtr,1
mechanically,mchniclly,1
interdependent,intdpnt,1
university,univ.,1
colonization,clnoztion,1
assignments,assign,6
manipulation,mnpltn,2
electrical,electri,2
theological,theolog,3
vocational,voc,5
individualistic,individualistic,1
accelerating,acclg,1
manufacture,manfctr,2
democratization,democ,5
communicator,communi,3
pedestrians,pdstrians,4
instrumentation,instru.,1
industrial,indust,3
principals,prins,2
colonization,clnztn,1
manufacturing,mf,1
windshield,wndshld,9
mechanical,mechanica,1
academically,acadlly,3
explorations,xplrations,2
decentralized,decentralized,1
horsepower,hp,17
combustion,cbn,1
telescopes,tscopes,4
colonization,clnzn,2
constellations,constelatns,1
constellations,consteltns,1
instrumentation,instrum,2
measurements,measrmnts,4
investment,invest.,1
educationally,educlly,1
investment,invstmnt,5
socialization,soclization,1
industrial,ind,6
manipulation,manipul,7
opposition,opp,9
principals,prpls,8
manipulation,manption,1
democratization,demzation,3
educationally,educ'ally,1
colonization,colniztn,2
atmospheric,atmpheric,3
automotive,automot,1
experiments,expmts,2
acceleration,pelt,5
experiments,exp,2
parliamentary,prlamntry,1
democratization,democracy,1
schoolchildren,schchln.,1
satellites,sats,1
transmissions,tmissions,1
dictatorship,dictatshp,1
electrical,elecl,5
satellites,sate,2
congresswoman,cgrswm,1
extracurricular,xtracular,5
enrollments,enrlts,1
dealerships,dlrships,4
communicator,com,4
colonization,colnztn,1
jurisprudence,jrsprdence,1
experiments,xperimnts,2
circumstance,crnmstn,5
multifaceted,multfactd,4
atmospheric,atmosphrc,1
satellites,stlts,8
instructional,instr,1
enrollment,enrollm,5
trustworthy,trstwrty,2
automotive,auto,12
enrollments,enrllmn,2
experiments,experim,5
schoolchildren,schlchld,2
individualistic,individual,1
undertaking,undrtkn,8
professors,profess,5
socialization,socialztn,3
industrial,indstrl,4
university,uni,6
transmissions,trnsmss,5
observatory,obsrty,1
mechanical,mech,12
manufacture,manuf.,1
compartment,cmprtmnt,2
adventurers,venturer,1
jurisprudence,jurispr,7
disintegration,disint,8
acceleration,acclrtion,1
university,unv,1
extracurricular,extracurr',1
undertaking,underta,3
geopolitical,geopolit,1
constellations,const,1
multifaceted,multi,1
vocational,vocal,1
compartment,comp.,1
constellations,cnstlns,1
explorations,expl,2
enrollments,enrlmnts,7
telescopes,telscopes,4
kindergarten,kndgtn,1
instructional,nstrucnal,7
parliamentary,parliamntry,2
enrollments,enrlmts,1
compartment,compartm,2
disintegration,disinteg,2
kindergarten,kindrgarden,2
vocational,voca,19
satellites,stls,1
pedestrians,pdstrns,5
observatory,observtry,2
industrialized,indtlzed,2
democratization,democratiz,1
exploration,explrtn,6
meteorological,mtrlgcl,14
compartment,compt,4
expeditions,xped,4
inflationary,inflati,1
inflationary,inflate,1
transmissions,transons,1
educationally,edctnll,5
combustion,cmb,1
comprehension,compre,1
manufacture,manuf,1
socialization,sociali,15
compartment,comp,4
atmospheric,atmosph,2
multifaceted,multifcted,2
undergraduate,undergrad,8
schoolchildren,schlchl,5
decentralized,dcntrlz,5
industrialized,indstrlzd,2
manufacturing,mnfctring,1
collisions,collis,1
graduation,grad,3
undertaking,udtkg,1
accelerating,acclrng.,1
observatory,obsrvatry,1
undertaking,udrtkg,1
parliamentary,prlmntr,12
graduation,gradtn,4
laboratory,labrtory,1
undergraduates,undergr,4
individualistic,indivd,1
automotive,automtv,2
mechanically,mechally,3
horsepower,hrsepwr,1
electrical,elctrcl,1
mechanically,mechanica,1
