original,abbreviation,accuracy,count
academically,acad,correct,1
academically,acad,semantic,7
academically,acadally,correct,1
academically,acadclly,correct,1
academically,academ,semantic,1
academically,academi,correct,1
academically,academi,semantic,7
academically,acadlly,correct,2
academically,acadlly,incorrect,1
academically,acadmcly,correct,1
academically,acadmly,semantic,1
academically,acdmcll,correct,6
academically,acdmcll,incorrect,1
academically,acdmcll,semantic,1
academically,acdmcll,typo,1
academically,acdmcly,correct,1
academically,acdmlly,correct,2
accelerating,accel.,semantic,1
accelerating,acceler,semantic,6
accelerating,accelerat,semantic,7
accelerating,accelerate,semantic,1
accelerating,accelerating,correct,3
accelerating,accelrtg,correct,1
accelerating,accl,semantic,1
accelerating,acclg,typo,1
accelerating,acclrng.,correct,1
accelerating,acclrtg,correct,2
accelerating,acclrtn,incorrect,1
accelerating,acclrtn,semantic,10
accelerating,acclrtng,correct,2
accelerating,acclting,correct,3
accelerating,acclting,incorrect,2
acceleration,acc,FALSE,8
acceleration,acc,incorrect,1
acceleration,acc,semantic,7
acceleration,acc'n,FALSE,1
acceleration,acc.,FALSE,1
acceleration,accel,correct,1
acceleration,accel,incorrect,1
acceleration,accel,semantic,2
acceleration,accel,typo,1
acceleration,accel'ation,correct,1
acceleration,acceler,correct,1
acceleration,acceler,semantic,1
acceleration,acclrtion,correct,1
acceleration,acclrtn,typo,1
acceleration,pelt,mislead,6
adventurers,adventu,semantic,3
adventurers,advers,FALSE,2
adventurers,advntrs,correct,2
adventurers,advntrs,incorrect,2
adventurers,advntrs,semantic,24
adventurers,advntu,semantic,1
adventurers,advnturers,correct,1
adventurers,advnturers,semantic,1
adventurers,venturer,incorrect,1
assignments,asigmnts,plural,1
assignments,asmts,correct,1
assignments,asmts,plural,1
assignments,asnmnts,FALSE,1
assignments,assgnmnts,correct,15
assignments,assgnmnts,plural,2
assignments,assig,plural,1
assignments,assigmts,correct,1
assignments,assign,incorrect,3
assignments,assign,plural,3
assignments,assign,semantic,1
assignments,assignm,incorrect,1
assignments,assignm,plural,3
assignments,assignments,correct,3
assignments,assignments,plural,1
assignments,assing,FALSE,2
assignments,assments,FALSE,1
atmospheric,astmphrc,FALSE,1
atmospheric,atm.,semantic,1
atmospheric,atmos,FALSE,1
atmospheric,atmos,semantic,1
atmospheric,atmosph,semantic,2
atmospheric,atmospher,semantic,1
atmospheric,atmospheric,correct,2
atmospheric,atmosphrc,correct,1
atmospheric,atmpheric,correct,5
atmospheric,atmsp,semantic,1
atmospheric,atmsphr,correct,1
atmospheric,atmsphr,semantic,16
atmospheric,atmsphrc,correct,5
atmospheric,atmsphrc,semantic,1
atmospheric,atmsphrc,typo,2
atmospheric,atmsprc,correct,1
automotive,auto,correct,1
automotive,auto,FALSE,8
automotive,auto,mislead,5
automotive,auto,semantic,20
automotive,autom,correct,2
automotive,automot,correct,2
automotive,automtv,correct,4
automotive,autotive,correct,2
circumstance,circ,FALSE,11
circumstance,circmstnc,correct,1
circumstance,circmstnce,correct,1
circumstance,circstc,correct,1
circumstance,circstnce,correct,1
circumstance,circums,correct,3
circumstance,circums,FALSE,1
circumstance,circums,incorrect,1
circumstance,circums,plural,2
circumstance,crcmstance,correct,1
circumstance,crcstance,correct,1
circumstance,crcstance,plural,1
circumstance,crnmstn,incorrect,4
circumstance,crnmstn,semantic,1
collisions,col,FALSE,1
collisions,collis,plural,1
collisions,collisi,plural,2
collisions,collisns,correct,1
collisions,collsn,plural,3
collisions,collsns,correct,24
collisions,collsns,incorrect,2
collisions,collsns,plural,1
colonization,clnoztion,correct,1
colonization,clnzn,correct,1
colonization,clnzn,incorrect,1
colonization,clnztn,correct,1
colonization,clnztns,incorrect,4
colonization,clnztns,plural,1
colonization,colniztn,correct,1
colonization,colniztn,typo,2
colonization,colnzation,correct,3
colonization,colnztn,correct,1
colonization,colon,semantic,1
colonization,coloniz,semantic,3
colonization,colonization,correct,1
colonization,colonztn,correct,8
combustion,cbn,FALSE,1
combustion,cmb,incorrect,1
combustion,cmbstn,correct,2
combustion,cmbustn,correct,1
combustion,comb,FALSE,7
combustion,combstn,correct,16
combustion,combstn,FALSE,1
combustion,combtn,correct,2
combustion,combtn,FALSE,2
combustion,combust,correct,1
combustion,combustion,correct,1
combustion,comstion,correct,1
communicator,cmmnctr,correct,5
communicator,cmmnctr,incorrect,1
communicator,cmmnctr,plural,1
communicator,cmmtr,FALSE,1
communicator,com,FALSE,3
communicator,com,semantic,1
communicator,comcator,correct,1
communicator,comm,FALSE,3
communicator,comm,semantic,1
communicator,commctr,correct,1
communicator,commctr,incorrect,2
communicator,communi,FALSE,6
communicator,comun,FALSE,1
compartment,cmprtmn,correct,3
compartment,cmprtmn,incorrect,1
compartment,cmprtmnt,correct,2
compartment,cmptmnt,correct,2
compartment,comp,FALSE,3
compartment,comp,incorrect,1
