rank,letter,freq
1,E,0.1209652248
2,T,0.0893812695
3,A,0.08551690673
4,O,0.07467265411
5,I,0.07325118607
6,N,0.07172184876
7,S,0.06728203117
8,R,0.06332710133
9,H,0.04955707281
10,L,0.04206464329
11,D,0.03871183736
12,C,0.03164435381
13,U,0.02681580936
14,M,0.02526321736
15,F,0.02181510397
16,G,0.02086335425
17,P,0.02066166079
18,W,0.01825361895
19,Y,0.01721360615
20,B,0.01604795917
21,V,0.01059346275
22,K,0.008086975227
23,J,0.002197788956
24,X,0.001913504859
25,Z,0.001137563215
26,Q,0.001040245301
