rank,digraph,count,freq
1,TH,116997844,2.70569804
2,HE,100689263,2.32854497
3,IN,87674002,2.02755339
4,ER,77134382,1.78381361
5,AN,69775179,1.61362431
6,RE,60923600,1.40892225
7,ES,57070453,1.31981417
8,ON,56915252,1.31622499
9,ST,54018399,1.24923222
10,NT,50701084,1.17251583
11,EN,48991276,1.13297472
12,AT,48274564,1.11640000
13,ED,46647960,1.07878308
14,ND,46194306,1.06829185
15,TO,46115188,1.06646216
16,OR,45725191,1.05744307
17,EA,43329810,1.00204737
18,TI,42888666,0.99184545
19,AR,42353262,0.97946367
20,TE,42295813,0.97813510
21,NG,38567365,0.89191083
22,AL,38211584,0.88368302
23,IT,37938534,0.87736845
24,AS,37773878,0.87356061
25,IS,37349981,0.86375754
26,HA,35971841,0.83188661
27,ET,32872552,0.76021230
28,SE,31532272,0.72921691
29,OU,31112284,0.71950425
30,OF,30540904,0.70629049
31,LE,30383262,0.70264485
32,SA,30080131,0.69563463
33,VE,29320973,0.67807830
34,RO,29230770,0.67599226
35,RA,28645577,0.66245906
36,RI,27634643,0.63908015
37,HI,27495342,0.63585867
38,NE,27331675,0.63207369
39,ME,27237733,0.62990119
40,DE,27029835,0.62509333
41,CO,26737101,0.61832355
42,TA,26147593,0.60469055
43,EC,25775798,0.59609240
44,SI,25758841,0.59570026
45,LL,24636875,0.56975361
46,SO,23903631,0.55279658
47,NA,23547524,0.54456123
48,LI,23291169,0.53863275
49,LA,23178317,0.53602293
50,EL,23092248,0.53403249
51,MA,21828378,0.50480417
52,DI,21673998,0.50123397
53,IC,21468412,0.49647958
54,RT,21456059,0.49619390
55,NS,21306421,0.49273337
56,RS,21237259,0.49113392
57,IO,21210160,0.49050723
58,OM,21066156,0.48717699
59,CH,20132750,0.46559099
60,OT,20088048,0.46455721
61,CA,19930754,0.46091962
62,CE,19803619,0.45797949
63,HO,19729026,0.45625445
64,BE,19468489,0.45022926
65,TT,19367472,0.44789313
66,FO,18923772,0.43763211
67,TS,18922522,0.43760320
68,SS,18915696,0.43744534
69,NO,18894111,0.43694616
70,EE,18497942,0.42778434
71,EM,18145294,0.41962898
72,AC,17904683,0.41406460
73,IL,17877600,0.41343828
74,DA,17584055,0.40664974
75,NI,17452104,0.40359824
76,UR,17341717,0.40104542
77,WA,16838794,0.38941480
78,SH,16773127,0.38789618
79,EI,16026915,0.37063924
80,AM,15975981,0.36946134
81,TR,15821226,0.36588247
82,DT,15759673,0.36445899
83,US,15699353,0.36306403
84,LO,15596310,0.36068105
85,PE,15573318,0.36014934
86,UN,15237699,0.35238780
87,NC,15214623,0.35185414
88,WI,15213018,0.35181702
89,UT,15137169,0.35006293
90,AD,14877234,0.34405166
91,EW,14776406,0.34171991
92,OW,14610429,0.33788152
93,GE,14425023,0.33359381
94,EP,14024377,0.32432845
95,AI,13974919,0.32318468
96,LY,13742031,0.31779890
97,OL,13726491,0.31743952
98,FT,13696078,0.31673619
99,OS,13596265,0.31442791
100,EO,13524186,0.31276101
101,EF,13252227,0.30647167
102,PR,13191182,0.30505994
103,WE,13185116,0.30491966
104,DO,13120322,0.30342123
105,MO,12950768,0.29950011
106,ID,12896787,0.29825175
107,IE,12505546,0.28920389
108,MI,12168944,0.28141961
109,PA,12068709,0.27910157
110,FI,11993833,0.27736999
111,PO,11917535,0.27560552
112,CT,11888752,0.27493988
113,WH,11852909,0.27411097
114,IR,11681353,0.27014356
115,AY,11523416,0.26649110
116,GA,11239788,0.25993190
117,SC,10800636,0.24977605
118,KE,10650670,0.24630793
119,EV,10574011,0.24453511
120,SP,10570626,0.24445683
121,IM,10544422,0.24385083
122,OP,10459455,0.24188588
123,DS,10429887,0.24120209
124,LD,10245579,0.23693978
125,UL,10173468,0.23527213
126,OO,10168856,0.23516548
127,SU,10031005,0.23197753
128,IA,10002012,0.23130703
129,GH,9880399,0.22849461
130,PL,9812226,0.22691803
131,EB,9738798,0.22521993
132,IG,9530574,0.22040453
133,VI,9380037,0.21692321
134,IV,9129232,0.21112308
135,WO,9106647,0.21060078
136,YO,9088497,0.21018104
137,RD,9025637,0.20872734
138,TW,8910254,0.20605898
139,BA,8867461,0.20506935
140,AG,8809266,0.20372353
141,RY,8788539,0.20324420
142,AB,8775582,0.20294455
143,LS,8675452,0.20062894
144,SW,8673234,0.20057765
145,AP,8553911,0.19781818
146,FE,8529289,0.19724877
147,TU,8477495,0.19605098
148,CI,8446084,0.19532456
149,FA,8357929,0.19328589
150,HT,8351551,0.19313839
151,FR,8339376,0.19285683
152,AV,8288885,0.19168917
153,EG,8286463,0.19163316
154,GO,8188708,0.18937247
155,BO,8172395,0.18899522
156,BU,8113271,0.18762791
157,TY,8008918,0.18521464
158,MP,7835172,0.18119658
159,OC,7646952,0.17684380
160,OD,7610214,0.17599419
161,EH,7559141,0.17481308
162,YS,7539621,0.17436166
163,EY,7528342,0.17410082
164,RM,7377989,0.17062375
165,OV,7350014,0.16997679
166,GT,7347990,0.16992999
167,YA,7239548,0.16742215
168,CK,7205091,0.16662530
169,GI,7103140,0.16426757
170,RN,7064635,0.16337711
171,GR,6989963,0.16165024
172,RC,6974063,0.16128253
173,BL,6941044,0.16051893
174,LT,6817273,0.15765660
175,YT,6714151,0.15527179
176,OA,6554221,0.15157325
177,YE,6499305,0.15030326
178,OB,6212512,0.14367087
179,DB,6106719,0.14122429
180,FF,6085519,0.14073402
181,SF,6073995,0.14046751
182,RR,5896212,0.13635610
183,DU,5861311,0.13554897
184,KI,5814357,0.13446311
185,UC,5742385,0.13279869
186,IF,5740414,0.13275310
187,AF,5702567,0.13187785
188,DR,5701879,0.13186194
189,CL,5683204,0.13143006
190,EX,5649363,0.13064745
191,SM,5580755,0.12906082
192,PI,5559210,0.12856257
193,SB,5553684,0.12843478
194,CR,5514347,0.12752507
195,TL,5403137,0.12495322
196,OI,5336616,0.12341485
197,RU,5330557,0.12327473
198,UP,5306948,0.12272875
199,BY,5232074,0.12099721
200,TC,5196817,0.12018185
201,NN,5180899,0.11981373
202,AK,5137311,0.11880571
203,SL,4965012,0.11482112
204,NF,4950333,0.11448165
205,UE,4927837,0.11396141
206,DW,4906814,0.11347523
207,AU,4884168,0.11295152
208,PP,4873393,0.11270233
209,UG,4832325,0.11175259
210,RL,4803246,0.11108011
211,RG,4645938,0.10744220
212,BR,4621080,0.10686733
213,CU,4604045,0.10647338
214,UA,4589997,0.10614850
215,DH,4585765,0.10605063
216,RK,4491400,0.10386834
217,YI,4461214,0.10317026
218,LU,4402940,0.10182261
219,UM,4389720,0.10151689
220,BI,4356462,0.10074776
221,NY,4343290,0.10044314
222,NW,4215967,0.09749867
223,QU,4169424,0.09642231
224,OG,4163126,0.09627666
225,SN,4157990,0.09615789
226,MB,4121764,0.09532012
227,VA,4111375,0.09507987
228,DF,4033878,0.09328767
229,DD,4001275,0.09253369
230,MS,3922855,0.09072014
231,GS,3920675,0.09066973
232,AW,3918960,0.09063007
233,NH,3915410,0.09054797
234,PU,3858148,0.08922373
235,HR,3843001,0.08887343
236,SD,3842250,0.08885607
237,TB,3815459,0.08823650
238,PT,3812475,0.08816749
239,NM,3796928,0.08780795
240,DC,3782481,0.08747385
241,GU,3768430,0.08714890
242,TM,3759861,0.08695074
243,MU,3755834,0.08685761
244,NU,3732602,0.08632034
245,MM,3730508,0.08627192
246,NL,3692985,0.08540416
247,EU,3674130,0.08496812
248,WN,3649615,0.08440118
249,NB,3602692,0.08331604
250,RP,3588188,0.08298062
251,DM,3544905,0.08197965
252,SR,3513808,0.08126050
253,UD,3499535,0.08093042
254,UI,3481482,0.08051293
255,RF,3436232,0.07946647
256,OK,3397570,0.07857238
257,YW,3379064,0.07814440
258,TF,3368452,0.07789899
259,IP,3348621,0.07744038
260,RW,3348005,0.07742613
261,RB,3346212,0.07738467
262,OH,3254659,0.07526741
263,KS,3227333,0.07463547
264,DP,3145043,0.07273242
265,FU,3138900,0.07259036
266,YC,3128053,0.07233951
267,TP,3070427,0.07100685
268,MT,3055946,0.07067196
269,DL,3050945,0.07055631
270,NK,3043200,0.07037720
271,CC,3026492,0.06999081
