original,abbreviation,length
abbreviation,abr,3
abbreviation,abrv,4
abbreviation,abbrv,5
abbreviation,abbrvn,6
abbreviation,abbrvin,7
abbreviation,abbrvitn,8
abbreviation,abbrviatn,9
abbreviation,abbreviatn,10
abdication,abd,3
abdication,abdn,4
abdication,abdin,5
abdication,abdicn,6
abdication,abdictn,7
abdication,abdicatn,8
abdominal,ado,3
abdominal,abdo,4
abdominal,abdol,5
abdominal,abdoml,6
abdominal,abdomal,7
abduction,abd,3
abduction,abdn,4
abduction,abdcn,5
abduction,abdctn,6
abduction,abductn,7
abolishing,abg,3
abolishing,abog,4
abolishing,abohg,5
abolishing,aboshg,6
abolishing,abolshg,7
abolishing,abolshng,8
abolition,abn,3
abolition,abon,4
abolition,abotn,5
abolition,aboltn,6
abolition,abolton,7
abolitionist,abt,3
abolitionist,abot,4
abolitionist,abost,5
abolitionist,abolst,6
abolitionist,aboltst,7
abolitionist,aboltnst,8
abolitionist,aboltnist,9
abolitionist,abolitnist,10
abolitionists,abs,3
abolitionists,abos,4
abolitionists,aboss,5
abolitionists,abosts,6
abolitionists,abolsts,7
abolitionists,aboltsts,8
abolitionists,aboltnsts,9
abolitionists,aboltnists,10
abolitionists,abolitnists,11
abominable,abl,3
abominable,abbl,4
abominable,abble,5
abominable,aboble,6
abominable,abomble,7
abominable,abomible,8
abramson,abr,3
abramson,abro,4
abramson,abron,5
abramson,abrmon,6
absorbed,abe,3
absorbed,abbe,4
absorbed,absbe,5
absorbed,absobe,6
abstained,aie,3
abstained,abie,4
abstained,absie,5
abstained,absied,6
abstained,abstied,7
abstinence,abe,3
abstinence,abse,4
abstinence,absee,5
abstinence,absece,6
abstinence,abstece,7
abstinence,abstnece,8
abstracted,abs,3
abstracted,absd,4
abstracted,abstd,5
abstracted,abstcd,6
abstracted,abstctd,7
abstracted,abstrctd,8
abstraction,abs,3
abstraction,absn,4
abstraction,abstn,5
abstraction,abstcn,6
abstraction,abstctn,7
abstraction,abstrctn,8
abstraction,abstrcton,9
abstractly,abl,3
abstractly,absl,4
abstractly,absly,5
abstractly,abstly,6
abstractly,abstcly,7
abstractly,abstctly,8
absurdity,abs,3
absurdity,absd,4
absurdity,absdy,5
absurdity,absdty,6
absurdity,absdity,7
abundant,aba,3
abundant,abat,4
abundant,abdat,5
abundant,abndat,6
accelerated,acd,3
accelerated,acld,4
accelerated,accld,5
accelerated,accltd,6
accelerated,acceltd,7
accelerated,accelted,8
accelerated,acceleted,9
accelerators,acs,3
accelerators,acls,4
accelerators,accls,5
accelerators,acclrs,6
accelerators,acclors,7
accelerators,accltors,8
accelerators,acceltors,9
accelerators,acceletors,10
accentuates,acs,3
accentuates,accs,4
accentuates,accts,5
accentuates,acctas,6
accentuates,acctuas,7
accentuates,acctuats,8
accentuates,accetuats,9
acceptability,ati,3
acceptability,atbi,4
acceptability,atbiy,5
acceptability,aptbiy,6
acceptability,aptbily,7
acceptability,acptbily,8
acceptability,acptbilty,9
acceptability,accptbilty,10
acceptability,acceptbilty,11
accepted,atd,3
accepted,aptd,4
accepted,acptd,5
accepted,accptd,6
accidents,ads,3
accidents,acds,4
accidents,acdts,5
accidents,accdts,6
accidents,accidts,7
accolades,acs,3
accolades,acds,4
accolades,aclds,5
accolades,acclds,6
accolades,acclads,7
accommodating,ada,3
accommodating,adag,4
accommodating,amdag,5
accommodating,acmdag,6
accommodating,acmmdag,7
accommodating,accmmdag,8
accommodating,accmmdang,9
accommodating,accmmodang,10
accommodating,accmmodatng,11
accompanied,apd,3
accompanied,acpd,4
accompanied,acmpd,5
accompanied,acmped,6
accompanied,accmped,7
accompanied,accmpned,8
accompanied,accmpaned,9
accompanying,ayi,3
accompanying,ayig,4
accompanying,apyig,5
accompanying,acpyig,6
accompanying,acmpyig,7
accompanying,accmpyig,8
accompanying,accmpying,9
accompanying,accmpnying,10
accomplices,als,3
accomplices,apls,4
accomplices,acpls,5
accomplices,acmpls,6
accomplices,accmpls,7
accomplices,accmples,8
accomplices,accmplces,9
accomplishes,als,3
accomplishes,apls,4
accomplishes,aplhs,5
accomplishes,aplshs,6
accomplishes,acplshs,7
accomplishes,acmplshs,8
accomplishes,acmplshes,9
accomplishes,accmplshes,10
accomplishing,alg,3
accomplishing,aplg,4
accomplishing,aplhg,5
accomplishing,aplshg,6
accomplishing,acplshg,7
accomplishing,acmplshg,8
accomplishing,accmplshg,9
accomplishing,accmplshng,10
accomplishing,accmplshing,11
accorded,add,3
accorded,acdd,4
accorded,accdd,5
accorded,accrdd,6
accountable,aul,3
accountable,aubl,4
accountable,auble,5
accountable,acuble,6
accountable,acunble,7
accountable,accunble,8
