original,abbreviation,4000,8000,12000
abbreviation,abr,abr,abr,abr
abbreviation,abrv,abrv,abrv,abrv
abbreviation,abbrv,abbrv,abbrv,abbrv
abbreviation,abbrvn,abbrvn,abbrvn,abbrvn
abbreviation,abbrvin,abbrvin,abbrvin,abbrvin
abbreviation,abbrvion,abbrvion,abbrvitn,abbrvitn
abbreviation,abbrviton,abbrviton,abbrviatn,abbrviatn
abbreviation,abbrviaton,abbrviaton,abbrviaton,abbreviatn
abdication,abd,abd,abd,abd
abdication,abdn,abdn,abdn,abdn
abdication,abdin,abdin,abdin,abdin
abdication,abdicn,abdicn,abdicn,abdicn
abdication,abdicon,abdicon,abdictn,abdictn
abdication,abdicton,abdicton,abdicton,abdicatn
abdominal,ado,ado,ado,ado
abdominal,abdo,abdo,abdo,abdo
abdominal,abdol,abdol,abdol,abdol
abdominal,abdoml,abdoml,abdoml,abdoml
abdominal,abdomal,abdomal,abdomal,abdomal
abduction,abd,abd,abd,abd
abduction,abdn,abdn,abdn,abdn
abduction,abdcn,abdcn,abdcn,abdcn
abduction,abdctn,abdctn,abdctn,abdctn
abduction,abdcton,abdcton,abdcton,abductn
abolishing,abg,abg,abg,abg
abolishing,abog,abog,abog,abog
abolishing,abohg,abohg,abohg,abohg
abolishing,aboshg,aboshg,aboshg,aboshg
abolishing,aboshng,aboshng,abolshg,abolshg
abolishing,abolshng,abolshng,abolshng,abolshng
abolition,abn,abn,abn,abn
abolition,abon,abon,abon,abon
abolition,aboln,abotn,abotn,abotn
abolition,aboltn,aboltn,aboltn,aboltn
abolition,abolton,abolton,abolton,abolton
abolitionist,abt,abt,abt,abt
abolitionist,abot,abst,abot,abot
abolitionist,abost,abost,abost,abost
abolitionist,abolst,abolst,abolst,abolst
abolitionist,aboltst,aboltst,aboltst,aboltst
abolitionist,aboltnst,aboltnst,aboltnst,aboltnst
abolitionist,aboltnist,aboltnist,aboltnist,aboltnist
abolitionist,abolitnist,abolitnist,abolitnist,abolitnist
abolitionists,abs,abs,abs,abs
abolitionists,abos,abos,abos,abos
abolitionists,aboss,abots,aboss,aboss
abolitionists,abosts,abosts,abosts,abosts
abolitionists,abolsts,abolsts,abolsts,abolsts
abolitionists,aboltsts,aboltsts,aboltsts,aboltsts
abolitionists,aboltnsts,aboltnsts,aboltnsts,aboltnsts
abolitionists,aboltnists,aboltnists,aboltnists,aboltnists
abolitionists,abolitnists,abolitnists,abolitnists,abolitnists
abominable,abl,abl,abl,abl
abominable,abbl,abbl,abbl,abbl
abominable,abble,abble,abble,abble
abominable,aboble,aboble,aboble,aboble
abominable,abomble,abomble,abomble,abomble
abominable,abomible,abomible,abomible,abomible
abramson,abr,abr,abr,abr
abramson,abro,abro,abro,abro
abramson,abron,abron,abron,abron
abramson,abrmon,abrmon,abrmon,abrmon
absorbed,abe,abe,abe,abe
absorbed,abbe,abbe,abbe,abbe
absorbed,absbe,absbe,absbe,absbe
absorbed,absobe,absobe,absobe,absobe
abstained,aie,aie,aie,aie
abstained,abie,abie,abie,abie
abstained,absie,absie,absie,absie
abstained,absied,absied,absied,absied
abstained,abstied,abstied,abstied,abstied
abstinence,abe,abe,abe,abe
abstinence,abse,abse,abse,abse
abstinence,absee,absee,absee,absee
abstinence,absece,absece,absece,absece
abstinence,abstece,abstece,abstece,abstece
abstinence,abstnece,abstnece,abstnece,abstnece
abstracted,abs,abs,abs,abs
abstracted,absd,absd,absd,absd
abstracted,abstd,abstd,abstd,abstd
abstracted,abstcd,abstcd,abstcd,abstcd
abstracted,abstctd,abstctd,abstctd,abstctd
abstracted,abstrctd,abstcted,abstrctd,abstrctd
abstraction,abs,abs,abs,abs
abstraction,absn,absn,absn,absn
abstraction,abstn,abstn,abstn,abstn
abstraction,abstcn,abstcn,abstcn,abstcn
abstraction,abstctn,abstctn,abstctn,abstctn
abstraction,abstrctn,abstrctn,abstrctn,abstrctn
abstraction,abstrcton,abstrcton,abstrcton,abstrcton
abstractly,abl,abl,abl,abl
abstractly,absl,absl,absl,absl
abstractly,absly,absly,absly,absly
abstractly,abstly,abstly,abstly,abstly
abstractly,abstcly,abstcly,abstcly,abstcly
abstractly,abstctly,abstctly,abstctly,abstctly
absurdity,abs,abs,abs,abs
absurdity,absd,absd,absd,absd
absurdity,absdy,absdy,absdy,absdy
absurdity,absdty,absdty,absdty,absdty
absurdity,absdity,absdity,absdity,absdity
abundant,aba,aba,aba,aba
abundant,abat,abat,abat,abat
abundant,abdat,abdat,abdat,abdat
abundant,abndat,abndat,abndat,abndat
accelerated,acd,acd,acd,acd
accelerated,acld,acld,acld,acld
accelerated,accld,accld,accld,accld
accelerated,accled,accled,accltd,accltd
accelerated,acceled,acclted,acceltd,acceltd
accelerated,accelted,accelted,accelted,accelted
accelerated,accelrted,accelrted,acceleted,acceleted
accelerators,acs,acs,acs,acs
accelerators,acls,acls,acls,acls
accelerators,aclrs,aclrs,aclrs,accls
accelerators,acclrs,acclrs,acclrs,acclrs
accelerators,acclors,acclors,acclors,acclors
accelerators,accelors,accltors,accltors,accltors
accelerators,acceltors,acceltors,acceltors,acceltors
accelerators,acceletors,acceletors,acceletors,acceletors
accentuates,acs,acs,acs,acs
accentuates,accs,accs,accs,accs
accentuates,accts,accts,accts,accts
accentuates,acctas,acctes,acctas,acctas
accentuates,acctaes,acctaes,acctats,acctuas
accentuates,acctuaes,acctates,acctuats,acctuats
accentuates,accetuaes,acctuates,accetuats,accetuats
acceptability,ati,ati,ati,ati
acceptability,atbi,atbi,atbi,atbi
acceptability,atbiy,atbiy,atbiy,atbiy
acceptability,aptbiy,aptbiy,aptbiy,aptbiy
acceptability,aptbity,aptbity,aptbily,aptbily
acceptability,aptbilty,aptbilty,aptbilty,acptbily
acceptability,acptbilty,acptbilty,acptbilty,acptbilty
acceptability,accptbilty,accptbilty,accptbilty,accptbilty
acceptability,acceptbilty,acceptbilty,acceptbilty,acceptbilty
accepted,atd,atd,atd,atd
accepted,aptd,aptd,aptd,aptd
accepted,acptd,acptd,acptd,acptd
accepted,accptd,accptd,accptd,accptd
accidents,ads,ads,ads,ads
accidents,adts,adts,adts,acds
accidents,acdts,acdts,acdts,acdts
accidents,accdts,accdts,accdts,accdts
accidents,accidts,accidts,accidts,accidts
accolades,acs,acs,acs,acs
accolades,acds,acds,acds,acds
accolades,aclds,aclds,aclds,aclds
accolades,acclds,acclds,acclds,acclds
accolades,accldes,accldes,acclads,acclads
accommodating,ada,ada,ada,ada
accommodating,adag,adag,adag,adag
accommodating,amdag,amdag,amdag,amdag
accommodating,acmdag,acmdag,acmdag,acmdag
accommodating,acmmdag,acmmdag,acmmdag,acmmdag
accommodating,acmmdang,acmmdang,acmmdang,accmmdag
accommodating,accmmdang,accmmdang,accmmdang,accmmdang
accommodating,accmmodang,accmmodang,accmmodang,accmmodang
accommodating,accmmodatng,accmmodatng,accmmodatng,accmmodatng
accompanied,apd,apd,apd,apd
accompanied,acpd,acpd,acpd,acpd
accompanied,acmpd,acped,acmpd,acmpd
accompanied,acmped,acmped,acmped,acmped
accompanied,accmped,accmped,accmped,accmped
accompanied,accmpned,accmpned,accmpned,accmpned
accompanied,accmpaned,accmpaned,accmpaned,accmpaned
accompanying,ayi,ayi,ayi,ayi
accompanying,ayig,ayig,ayig,ayig
accompanying,apyig,apyig,apyig,apyig
accompanying,acpyig,acpyig,acpyig,acpyig
accompanying,acmpyig,acmpyig,acmpyig,acmpyig
accompanying,acmpying,acmpying,acmpying,accmpyig
accompanying,accmpying,accmpying,accmpying,accmpying
accompanying,accmpnying,accmpnying,accmpnying,accmpnying
accomplices,als,als,als,als
accomplices,apls,apls,apls,apls
accomplices,acpls,acpls,acpls,acpls
accomplices,acmpls,acmpls,acmpls,acmpls
accomplices,acmples,acmples,accmpls,accmpls
accomplices,accmples,accmples,accmples,accmples
accomplices,accmplces,accmplces,accmplces,accmplces
accomplishes,als,als,als,als
accomplishes,apls,apls,apls,apls
accomplishes,aplhs,aplhs,aplhs,aplhs
accomplishes,aplshs,aplshs,aplshs,aplshs
accomplishes,acplshs,acplshs,acplshs,acplshs
accomplishes,acmplshs,acplshes,acmplshs,acmplshs
accomplishes,acmplshes,acmplshes,acmplshes,acmplshes
accomplishes,accmplshes,accmplshes,accmplshes,accmplshes
accomplishing,alg,alg,alg,alg
accomplishing,aplg,aplg,aplg,aplg
accomplishing,aplhg,aplhg,aplhg,aplhg
accomplishing,aplshg,aplshg,aplshg,aplshg
accomplishing,acplshg,acplshg,acplshg,acplshg
accomplishing,acmplshg,acmplshg,acmplshg,acmplshg
accomplishing,acmplshng,acmplshng,acmplshng,accmplshg
accomplishing,accmplshng,accmplshng,accmplshng,accmplshng
accomplishing,accmplshing,accmplshing,accmplshing,accmplshing
accorded,add,add,add,add
accorded,acdd,acdd,acdd,acdd
accorded,accdd,accdd,accdd,accdd
accorded,accrdd,accrdd,accrdd,accrdd
