original,abbreviation,length
abbreviation,abr,3
abbreviation,abrv,4
abbreviation,abbrv,5
abbreviation,abbrvi,6
abbreviation,abbrvit,7
abbreviation,abbrviat,8
abbreviation,abbrviatn,9
abbreviation,abbreviatn,10
abdication,abd,3
abdication,abdi,4
abdication,abdic,5
abdication,abdict,6
abdication,abdictn,7
abdication,abdicatn,8
abdominal,ado,3
abdominal,abdo,4
abdominal,abdom,5
abdominal,abdoml,6
abdominal,abdomil,7
abduction,abd,3
abduction,abdc,4
abduction,abdct,5
abduction,abdctn,6
abduction,abductn,7
abolishing,abo,3
abolishing,aboh,4
abolishing,abosh,5
abolishing,abolsh,6
abolishing,abolshg,7
abolishing,abolshng,8
abolition,abo,3
abolition,abol,4
abolition,abolt,5
abolition,aboltn,6
abolition,abolitn,7
abolitionist,abo,3
abolitionist,abos,4
abolitionist,abols,5
abolitionist,abolts,6
abolitionist,aboltst,7
abolitionist,aboltnst,8
abolitionist,aboltnist,9
abolitionist,abolitnist,10
abolitionists,abo,3
abolitionists,abos,4
abolitionists,aboss,5
abolitionists,abolss,6
abolitionists,aboltss,7
abolitionists,aboltsts,8
abolitionists,aboltists,9
abolitionists,aboltnists,10
abolitionists,abolitnists,11
abominable,abl,3
abominable,abbl,4
abominable,abobl,5
abominable,abombl,6
abominable,abomibl,7
abominable,abomiabl,8
abramson,abr,3
abramson,abro,4
abramson,abrmo,5
abramson,abrmso,6
absorbed,abe,3
absorbed,abbe,4
absorbed,absbe,5
absorbed,absobe,6
abstained,aie,3
abstained,abie,4
abstained,absie,5
abstained,absied,6
abstained,abstied,7
abstinence,abe,3
abstinence,abse,4
abstinence,abste,5
abstinence,abstec,6
abstinence,abstnec,7
abstinence,abstnece,8
abstracted,abs,3
abstracted,absd,4
abstracted,abscd,5
abstracted,abstcd,6
abstracted,abstrcd,7
abstracted,abstrctd,8
abstraction,abs,3
abstraction,abst,4
abstraction,abstt,5
abstraction,abstct,6
abstraction,abstrct,7
abstraction,abstrctn,8
abstraction,abstractn,9
abstractly,abl,3
abstractly,absl,4
abstractly,absly,5
abstractly,abscly,6
abstractly,abstcly,7
abstractly,abstrcly,8
absurdity,abs,3
absurdity,absd,4
absurdity,absdy,5
absurdity,absdty,6
absurdity,absdity,7
abundant,aba,3
abundant,abda,4
abundant,abnda,5
abundant,abunda,6
accelerated,acl,3
accelerated,acld,4
accelerated,accld,5
accelerated,acceld,6
accelerated,accelad,7
accelerated,accelatd,8
accelerated,acceleatd,9
accelerators,acl,3
accelerators,accl,4
accelerators,acclt,5
accelerators,acclts,6
accelerators,accelts,7
accelerators,acceltrs,8
accelerators,acceltors,9
accelerators,acceletors,10
accentuates,acs,3
accentuates,accs,4
accentuates,accts,5
accentuates,acctas,6
accentuates,accetas,7
accentuates,accetuas,8
accentuates,accentuas,9
acceptability,ati,3
acceptability,atbi,4
acceptability,aptbi,5
acceptability,aptbiy,6
acceptability,aptbily,7
acceptability,acptbily,8
acceptability,acptbilty,9
acceptability,accptbilty,10
acceptability,acceptbilty,11
accepted,apt,3
accepted,acpt,4
accepted,acptd,5
accepted,accptd,6
accidents,ads,3
accidents,acds,4
accidents,accds,5
accidents,accdts,6
accidents,accidts,7
accolades,acs,3
accolades,acds,4
accolades,aclds,5
accolades,acclds,6
accolades,acclads,7
accommodating,ada,3
accommodating,amda,4
accommodating,acmda,5
accommodating,acmmda,6
accommodating,acmmdag,7
accommodating,accmmdag,8
accommodating,accmmdatg,9
accommodating,accmmodatg,10
accommodating,accmmodatng,11
accompanied,acp,3
accompanied,acmp,4
accompanied,acmpd,5
accompanied,acmpnd,6
accompanied,accmpnd,7
accompanied,accmpned,8
accompanied,accmpaned,9
accompanying,ayi,3
accompanying,apyi,4
accompanying,acpyi,5
accompanying,acmpyi,6
accompanying,acmpyig,7
accompanying,accmpyig,8
accompanying,accmpnyig,9
accompanying,accmpanyig,10
accomplices,apl,3
accomplices,acpl,4
accomplices,acpls,5
accomplices,acmpls,6
accomplices,accmpls,7
accomplices,accmplcs,8
accomplices,accmplics,9
accomplishes,apl,3
accomplishes,apls,4
accomplishes,aplsh,5
accomplishes,acplsh,6
accomplishes,acmplsh,7
accomplishes,acmplshs,8
accomplishes,accmplshs,9
accomplishes,accmplshes,10
accomplishing,alh,3
accomplishing,aplh,4
accomplishing,aplsh,5
accomplishing,acplsh,6
accomplishing,acmplsh,7
accomplishing,acmplshg,8
accomplishing,accmplshg,9
accomplishing,accmplshng,10
accomplishing,accomplshng,11
accorded,acd,3
accorded,acdd,4
accorded,accdd,5
accorded,accrdd,6
accountable,aul,3
accountable,aubl,4
accountable,acubl,5
accountable,acunbl,6
