original,abbreviation,length
abbreviation,abr,3
abbreviation,abrv,4
abbreviation,abbrv,5
abbreviation,abbrvi,6
abbreviation,abbrvin,7
abbreviation,abbrvitn,8
abbreviation,abbrviatn,9
abbreviation,abbreviatn,10
abdication,abd,3
abdication,abdi,4
abdication,abdin,5
abdication,abdicn,6
abdication,abdictn,7
abdication,abdicatn,8
abdominal,ado,3
abdominal,abdo,4
abdominal,abdom,5
abdominal,abdoml,6
abdominal,abdomil,7
abduction,abd,3
abduction,abdc,4
abduction,abdcn,5
abduction,abdctn,6
abduction,abductn,7
abolishing,abo,3
abolishing,aboh,4
abolishing,abosh,5
abolishing,aboshg,6
abolishing,abolshg,7
abolishing,abolshng,8
abolition,abo,3
abolition,abol,4
abolition,abolt,5
abolition,aboltn,6
abolition,abolitn,7
abolitionist,abo,3
abolitionist,abos,4
abolitionist,abols,5
abolitionist,abolst,6
abolitionist,aboltst,7
abolitionist,aboltnst,8
abolitionist,aboltnist,9
abolitionist,abolitnist,10
abolitionists,abo,3
abolitionists,abos,4
abolitionists,aboss,5
abolitionists,abolss,6
abolitionists,aboltss,7
abolitionists,aboltsts,8
abolitionists,aboltnsts,9
abolitionists,aboltnists,10
abolitionists,abolitnists,11
abominable,abl,3
abominable,abbl,4
abominable,abobl,5
abominable,abombl,6
abominable,abomibl,7
abominable,abomible,8
abramson,abr,3
abramson,abro,4
abramson,abrmo,5
abramson,abrmso,6
absorbed,abe,3
absorbed,abbe,4
absorbed,absbe,5
absorbed,absobe,6
abstained,aie,3
abstained,abie,4
abstained,absie,5
abstained,absied,6
abstained,abstied,7
abstinence,abe,3
abstinence,abse,4
abstinence,absec,5
abstinence,abstec,6
abstinence,abstece,7
abstinence,abstnece,8
abstracted,abs,3
abstracted,absd,4
abstracted,abstd,5
abstracted,abstcd,6
abstracted,abstctd,7
abstracted,abstrctd,8
abstraction,abs,3
abstraction,abst,4
abstraction,abstc,5
abstraction,abstrc,6
abstraction,abstrcn,7
abstraction,abstrctn,8
abstraction,abstractn,9
abstractly,abl,3
abstractly,absl,4
abstractly,absly,5
abstractly,abstly,6
abstractly,abstcly,7
abstractly,abstctly,8
absurdity,abs,3
absurdity,absd,4
absurdity,absdy,5
absurdity,absdty,6
absurdity,absudty,7
abundant,aba,3
abundant,abda,4
abundant,abdat,5
abundant,abndat,6
accelerated,acd,3
accelerated,acld,4
accelerated,accld,5
accelerated,acceld,6
accelerated,acceltd,7
accelerated,accelrtd,8
accelerated,accelertd,9
accelerators,acl,3
accelerators,accl,4
accelerators,accls,5
accelerators,acclrs,6
accelerators,accelrs,7
accelerators,accelors,8
accelerators,acceltors,9
accelerators,acceletors,10
accentuates,acs,3
accentuates,accs,4
accentuates,accts,5
accentuates,acctas,6
accentuates,accetas,7
accentuates,accetuas,8
accentuates,accentuas,9
acceptability,ati,3
acceptability,atbi,4
acceptability,atbiy,5
acceptability,aptbiy,6
acceptability,aptbily,7
acceptability,acptbily,8
acceptability,accptbily,9
acceptability,accptbilty,10
acceptability,acceptbilty,11
accepted,apt,3
accepted,aptd,4
accepted,acptd,5
accepted,accptd,6
accidents,ads,3
accidents,acds,4
accidents,accds,5
accidents,accdts,6
accidents,accidts,7
accolades,acs,3
accolades,acds,4
accolades,accds,5
accolades,acclds,6
accolades,acclads,7
accommodating,ada,3
accommodating,amda,4
accommodating,acmda,5
accommodating,acmmda,6
accommodating,acmmdag,7
accommodating,accmmdag,8
accommodating,accmmdang,9
accommodating,accommdang,10
accommodating,accommodang,11
accompanied,apd,3
accompanied,acpd,4
accompanied,acmpd,5
accompanied,accmpd,6
accompanied,accmped,7
accompanied,accmpned,8
accompanied,accmpaned,9
accompanying,ayi,3
accompanying,apyi,4
accompanying,acpyi,5
accompanying,acmpyi,6
accompanying,acmpyig,7
accompanying,accmpyig,8
accompanying,accmpnyig,9
accompanying,accmpnying,10
accomplices,apl,3
accomplices,apls,4
accomplices,acpls,5
accomplices,acmpls,6
accomplices,accmpls,7
accomplices,accmplcs,8
accomplices,accmplces,9
accomplishes,apl,3
accomplishes,aplh,4
accomplishes,aplhs,5
accomplishes,aplshs,6
accomplishes,acplshs,7
accomplishes,acmplshs,8
accomplishes,accmplshs,9
accomplishes,accmplshes,10
accomplishing,apl,3
accomplishing,aplh,4
accomplishing,acplh,5
accomplishing,acplsh,6
accomplishing,acmplsh,7
accomplishing,acmplshg,8
accomplishing,accmplshg,9
accomplishing,accmplshng,10
accomplishing,accomplshng,11
accorded,add,3
accorded,acdd,4
accorded,accdd,5
accorded,accrdd,6
accountable,aul,3
accountable,aubl,4
accountable,acubl,5
accountable,accubl,6
accountable,accunbl,7
