,original,abbreviation,X4000,X8000,X12000,length,V6,V7,V8
1,abbreviation,abr,abr,abr,abr,3,0,0,0
2,abbreviation,abrv,abrv,abrv,abrv,4,0,0,0
3,abbreviation,abbrv,abbrv,abbrv,abbrv,5,0,0,0
4,abbreviation,abbrvn,abbrvn,abbrvn,abbrvn,6,0,0,0
5,abbreviation,abbrvin,abbrvin,abbrvin,abbrvin,7,0,0,0
6,abbreviation,abbrvion,abbrvion,abbrvitn,abbrvitn,8,0,1,1
7,abbreviation,abbrviton,abbrviton,abbrviatn,abbrviatn,9,0,2,2
8,abbreviation,abbrviaton,abbrviaton,abbrviaton,abbreviatn,10,0,0,2
9,abdication,abd,abd,abd,abd,3,0,0,0
10,abdication,abdn,abdn,abdn,abdn,4,0,0,0
11,abdication,abdin,abdin,abdin,abdin,5,0,0,0
12,abdication,abdicn,abdicn,abdicn,abdicn,6,0,0,0
13,abdication,abdicon,abdicon,abdictn,abdictn,7,0,1,1
14,abdication,abdicton,abdicton,abdicton,abdicatn,8,0,0,2
15,abdominal,ado,ado,ado,ado,3,0,0,0
16,abdominal,abdo,abdo,abdo,abdo,4,0,0,0
17,abdominal,abdol,abdol,abdol,abdol,5,0,0,0
18,abdominal,abdoml,abdoml,abdoml,abdoml,6,0,0,0
19,abdominal,abdomal,abdomal,abdomal,abdomal,7,0,0,0
20,abduction,abd,abd,abd,abd,3,0,0,0
21,abduction,abdn,abdn,abdn,abdn,4,0,0,0
22,abduction,abdcn,abdcn,abdcn,abdcn,5,0,0,0
23,abduction,abdctn,abdctn,abdctn,abdctn,6,0,0,0
24,abduction,abdcton,abdcton,abdcton,abductn,7,0,0,2
25,abolishing,abg,abg,abg,abg,3,0,0,0
26,abolishing,abog,abog,abog,abog,4,0,0,0
27,abolishing,abohg,abohg,abohg,abohg,5,0,0,0
28,abolishing,aboshg,aboshg,aboshg,aboshg,6,0,0,0
29,abolishing,aboshng,aboshng,abolshg,abolshg,7,0,2,2
30,abolishing,abolshng,abolshng,abolshng,abolshng,8,0,0,0
31,abolition,abn,abn,abn,abn,3,0,0,0
32,abolition,abon,abon,abon,abon,4,0,0,0
33,abolition,aboln,abotn,abotn,abotn,5,1,1,1
34,abolition,aboltn,aboltn,aboltn,aboltn,6,0,0,0
35,abolition,abolton,abolton,abolton,abolton,7,0,0,0
36,abolitionist,abt,abt,abt,abt,3,0,0,0
37,abolitionist,abot,abst,abot,abot,4,1,0,0
38,abolitionist,abost,abost,abost,abost,5,0,0,0
39,abolitionist,abolst,abolst,abolst,abolst,6,0,0,0
40,abolitionist,aboltst,aboltst,aboltst,aboltst,7,0,0,0
41,abolitionist,aboltnst,aboltnst,aboltnst,aboltnst,8,0,0,0
42,abolitionist,aboltnist,aboltnist,aboltnist,aboltnist,9,0,0,0
43,abolitionist,abolitnist,abolitnist,abolitnist,abolitnist,10,0,0,0
44,abolitionists,abs,abs,abs,abs,3,0,0,0
45,abolitionists,abos,abos,abos,abos,4,0,0,0
46,abolitionists,aboss,abots,aboss,aboss,5,1,0,0
47,abolitionists,abosts,abosts,abosts,abosts,6,0,0,0
48,abolitionists,abolsts,abolsts,abolsts,abolsts,7,0,0,0
49,abolitionists,aboltsts,aboltsts,aboltsts,aboltsts,8,0,0,0
50,abolitionists,aboltnsts,aboltnsts,aboltnsts,aboltnsts,9,0,0,0
51,abolitionists,aboltnists,aboltnists,aboltnists,aboltnists,10,0,0,0
52,abolitionists,abolitnists,abolitnists,abolitnists,abolitnists,11,0,0,0
53,abominable,abl,abl,abl,abl,3,0,0,0
54,abominable,abbl,abbl,abbl,abbl,4,0,0,0
55,abominable,abble,abble,abble,abble,5,0,0,0
56,abominable,aboble,aboble,aboble,aboble,6,0,0,0
57,abominable,abomble,abomble,abomble,abomble,7,0,0,0
58,abominable,abomible,abomible,abomible,abomible,8,0,0,0
59,abramson,abr,abr,abr,abr,3,0,0,0
60,abramson,abro,abro,abro,abro,4,0,0,0
61,abramson,abron,abron,abron,abron,5,0,0,0
62,abramson,abrmon,abrmon,abrmon,abrmon,6,0,0,0
63,absorbed,abe,abe,abe,abe,3,0,0,0
64,absorbed,abbe,abbe,abbe,abbe,4,0,0,0
65,absorbed,absbe,absbe,absbe,absbe,5,0,0,0
66,absorbed,absobe,absobe,absobe,absobe,6,0,0,0
67,abstained,aie,aie,aie,aie,3,0,0,0
68,abstained,abie,abie,abie,abie,4,0,0,0
69,abstained,absie,absie,absie,absie,5,0,0,0
70,abstained,absied,absied,absied,absied,6,0,0,0
71,abstained,abstied,abstied,abstied,abstied,7,0,0,0
72,abstinence,abe,abe,abe,abe,3,0,0,0
73,abstinence,abse,abse,abse,abse,4,0,0,0
74,abstinence,absee,absee,absee,absee,5,0,0,0
75,abstinence,absece,absece,absece,absece,6,0,0,0
76,abstinence,abstece,abstece,abstece,abstece,7,0,0,0
77,abstinence,abstnece,abstnece,abstnece,abstnece,8,0,0,0
78,abstracted,abs,abs,abs,abs,3,0,0,0
79,abstracted,absd,absd,absd,absd,4,0,0,0
80,abstracted,abstd,abstd,abstd,abstd,5,0,0,0
81,abstracted,abstcd,abstcd,abstcd,abstcd,6,0,0,0
82,abstracted,abstctd,abstctd,abstctd,abstctd,7,0,0,0
83,abstracted,abstrctd,abstcted,abstrctd,abstrctd,8,2,0,0
84,abstraction,abs,abs,abs,abs,3,0,0,0
85,abstraction,absn,absn,absn,absn,4,0,0,0
86,abstraction,abstn,abstn,abstn,abstn,5,0,0,0
87,abstraction,abstcn,abstcn,abstcn,abstcn,6,0,0,0
88,abstraction,abstctn,abstctn,abstctn,abstctn,7,0,0,0
89,abstraction,abstrctn,abstrctn,abstrctn,abstrctn,8,0,0,0
90,abstraction,abstrcton,abstrcton,abstrcton,abstrcton,9,0,0,0
91,abstractly,abl,abl,abl,abl,3,0,0,0
92,abstractly,absl,absl,absl,absl,4,0,0,0
93,abstractly,absly,absly,absly,absly,5,0,0,0
94,abstractly,abstly,abstly,abstly,abstly,6,0,0,0
95,abstractly,abstcly,abstcly,abstcly,abstcly,7,0,0,0
96,abstractly,abstctly,abstctly,abstctly,abstctly,8,0,0,0
97,absurdity,abs,abs,abs,abs,3,0,0,0
98,absurdity,absd,absd,absd,absd,4,0,0,0
99,absurdity,absdy,absdy,absdy,absdy,5,0,0,0
100,absurdity,absdty,absdty,absdty,absdty,6,0,0,0
101,absurdity,absdity,absdity,absdity,absdity,7,0,0,0
102,abundant,aba,aba,aba,aba,3,0,0,0
103,abundant,abat,abat,abat,abat,4,0,0,0
104,abundant,abdat,abdat,abdat,abdat,5,0,0,0
105,abundant,abndat,abndat,abndat,abndat,6,0,0,0
106,accelerated,acd,acd,acd,acd,3,0,0,0
107,accelerated,acld,acld,acld,acld,4,0,0,0
108,accelerated,accld,accld,accld,accld,5,0,0,0
109,accelerated,accled,accled,accltd,accltd,6,0,1,1
110,accelerated,acceled,acclted,acceltd,acceltd,7,2,1,1
111,accelerated,accelted,accelted,accelted,accelted,8,0,0,0
112,accelerated,accelrted,accelrted,acceleted,acceleted,9,0,1,1
113,accelerators,acs,acs,acs,acs,3,0,0,0
114,accelerators,acls,acls,acls,acls,4,0,0,0
115,accelerators,aclrs,aclrs,aclrs,accls,5,0,0,2
116,accelerators,acclrs,acclrs,acclrs,acclrs,6,0,0,0
117,accelerators,acclors,acclors,acclors,acclors,7,0,0,0
118,accelerators,accelors,accltors,accltors,accltors,8,2,2,2
119,accelerators,acceltors,acceltors,acceltors,acceltors,9,0,0,0
120,accelerators,acceletors,acceletors,acceletors,acceletors,10,0,0,0
121,accentuates,acs,acs,acs,acs,3,0,0,0
122,accentuates,accs,accs,accs,accs,4,0,0,0
123,accentuates,accts,accts,accts,accts,5,0,0,0
124,accentuates,acctas,acctes,acctas,acctas,6,1,0,0
125,accentuates,acctaes,acctaes,acctats,acctuas,7,0,1,2
126,accentuates,acctuaes,acctates,acctuats,acctuats,8,2,1,1
127,accentuates,accetuaes,acctuates,accetuats,accetuats,9,2,1,1
128,acceptability,ati,ati,ati,ati,3,0,0,0
129,acceptability,atbi,atbi,atbi,atbi,4,0,0,0
130,acceptability,atbiy,atbiy,atbiy,atbiy,5,0,0,0
131,acceptability,aptbiy,aptbiy,aptbiy,aptbiy,6,0,0,0
132,acceptability,aptbity,aptbity,aptbily,aptbily,7,0,1,1
133,acceptability,aptbilty,aptbilty,aptbilty,acptbily,8,0,0,2
134,acceptability,acptbilty,acptbilty,acptbilty,acptbilty,9,0,0,0
135,acceptability,accptbilty,accptbilty,accptbilty,accptbilty,10,0,0,0
136,acceptability,acceptbilty,acceptbilty,acceptbilty,acceptbilty,11,0,0,0
137,accepted,atd,atd,atd,atd,3,0,0,0
138,accepted,aptd,aptd,aptd,aptd,4,0,0,0
139,accepted,acptd,acptd,acptd,acptd,5,0,0,0
140,accepted,accptd,accptd,accptd,accptd,6,0,0,0
141,accidents,ads,ads,ads,ads,3,0,0,0
142,accidents,adts,adts,adts,acds,4,0,0,2
143,accidents,acdts,acdts,acdts,acdts,5,0,0,0
144,accidents,accdts,accdts,accdts,accdts,6,0,0,0
145,accidents,accidts,accidts,accidts,accidts,7,0,0,0
146,accolades,acs,acs,acs,acs,3,0,0,0
147,accolades,acds,acds,acds,acds,4,0,0,0
148,accolades,aclds,aclds,aclds,aclds,5,0,0,0
149,accolades,acclds,acclds,acclds,acclds,6,0,0,0
150,accolades,accldes,accldes,acclads,acclads,7,0,2,2
151,accommodating,ada,ada,ada,ada,3,0,0,0
152,accommodating,adag,adag,adag,adag,4,0,0,0
153,accommodating,amdag,amdag,amdag,amdag,5,0,0,0
154,accommodating,acmdag,acmdag,acmdag,acmdag,6,0,0,0
155,accommodating,acmmdag,acmmdag,acmmdag,acmmdag,7,0,0,0
156,accommodating,acmmdang,acmmdang,acmmdang,accmmdag,8,0,0,2
157,accommodating,accmmdang,accmmdang,accmmdang,accmmdang,9,0,0,0
158,accommodating,accmmodang,accmmodang,accmmodang,accmmodang,10,0,0,0
159,accommodating,accmmodatng,accmmodatng,accmmodatng,accmmodatng,11,0,0,0
160,accompanied,apd,apd,apd,apd,3,0,0,0
161,accompanied,acpd,acpd,acpd,acpd,4,0,0,0
162,accompanied,acmpd,acped,acmpd,acmpd,5,2,0,0
163,accompanied,acmped,acmped,acmped,acmped,6,0,0,0
164,accompanied,accmped,accmped,accmped,accmped,7,0,0,0
165,accompanied,accmpned,accmpned,accmpned,accmpned,8,0,0,0
166,accompanied,accmpaned,accmpaned,accmpaned,accmpaned,9,0,0,0
167,accompanying,ayi,ayi,ayi,ayi,3,0,0,0
168,accompanying,ayig,ayig,ayig,ayig,4,0,0,0
169,accompanying,apyig,apyig,apyig,apyig,5,0,0,0
170,accompanying,acpyig,acpyig,acpyig,acpyig,6,0,0,0
171,accompanying,acmpyig,acmpyig,acmpyig,acmpyig,7,0,0,0
172,accompanying,acmpying,acmpying,acmpying,accmpyig,8,0,0,2
173,accompanying,accmpying,accmpying,accmpying,accmpying,9,0,0,0
174,accompanying,accmpnying,accmpnying,accmpnying,accmpnying,10,0,0,0
175,accomplices,als,als,als,als,3,0,0,0
176,accomplices,apls,apls,apls,apls,4,0,0,0
177,accomplices,acpls,acpls,acpls,acpls,5,0,0,0
178,accomplices,acmpls,acmpls,acmpls,acmpls,6,0,0,0
179,accomplices,acmples,acmples,accmpls,accmpls,7,0,2,2
180,accomplices,accmples,accmples,accmples,accmples,8,0,0,0
181,accomplices,accmplces,accmplces,accmplces,accmplces,9,0,0,0
182,accomplishes,als,als,als,als,3,0,0,0
183,accomplishes,apls,apls,apls,apls,4,0,0,0
184,accomplishes,aplhs,aplhs,aplhs,aplhs,5,0,0,0
185,accomplishes,aplshs,aplshs,aplshs,aplshs,6,0,0,0
186,accomplishes,acplshs,acplshs,acplshs,acplshs,7,0,0,0
187,accomplishes,acmplshs,acplshes,acmplshs,acmplshs,8,2,0,0
188,accomplishes,acmplshes,acmplshes,acmplshes,acmplshes,9,0,0,0
189,accomplishes,accmplshes,accmplshes,accmplshes,accmplshes,10,0,0,0
190,accomplishing,alg,alg,alg,alg,3,0,0,0
191,accomplishing,aplg,aplg,aplg,aplg,4,0,0,0
192,accomplishing,aplhg,aplhg,aplhg,aplhg,5,0,0,0
193,accomplishing,aplshg,aplshg,aplshg,aplshg,6,0,0,0
194,accomplishing,acplshg,acplshg,acplshg,acplshg,7,0,0,0
195,accomplishing,acmplshg,acmplshg,acmplshg,acmplshg,8,0,0,0
196,accomplishing,acmplshng,acmplshng,acmplshng,accmplshg,9,0,0,2
197,accomplishing,accmplshng,accmplshng,accmplshng,accmplshng,10,0,0,0
198,accomplishing,accmplshing,accmplshing,accmplshing,accmplshing,11,0,0,0
199,accorded,add,add,add,add,3,0,0,0
200,accorded,acdd,acdd,acdd,acdd,4,0,0,0
201,accorded,accdd,accdd,accdd,accdd,5,0,0,0
202,accorded,accrdd,accrdd,accrdd,accrdd,6,0,0,0
203,accountable,aul,aul,aul,aul,3,0,0,0
204,accountable,aubl,aubl,aubl,aubl,4,0,0,0
205,accountable,auble,auble,auble,auble,5,0,0,0
206,accountable,acuble,acuble,acuble,acuble,6,0,0,0
207,accountable,accuble,acunble,acunble,acunble,7,2,2,2
208,accountable,accunble,accunble,accunble,accunble,8,0,0,0
209,accountable,accuntble,accuntble,accuntble,accuntble,9,0,0,0
210,accountant,aut,aut,aut,aut,3,0,0,0
211,accountant,acut,acut,acut,acut,4,0,0,0
