length,original,abbreviation,drop_vowel,truncation,truncation_keep_end,all_different?
3,abbreviation,abr,bbrvtn,abb,abn,1
4,abbreviation,abrv,bbrvtn,abbr,abbn,1
5,abbreviation,abbrv,bbrvtn,abbre,abbrn,1
6,abbreviation,abbrvn,bbrvtn,abbrev,abbren,1
7,abbreviation,abbrvin,bbrvtn,abbrevi,abbrevn,1
8,abbreviation,abbrvitn,bbrvtn,abbrevia,abbrevin,1
9,abbreviation,abbrviatn,bbrvtn,abbreviat,abbrevian,1
10,abbreviation,abbreviatn,bbrvtn,abbreviati,abbreviatn,1
3,abdication,abd,bdctn,abd,abn,1
4,abdication,abdn,bdctn,abdi,abdn,1
5,abdication,abdin,bdctn,abdic,abdin,1
6,abdication,abdicn,bdctn,abdica,abdicn,1
7,abdication,abdictn,bdctn,abdicat,abdican,1
8,abdication,abdicatn,bdctn,abdicati,abdicatn,1
3,abdominal,ado,bdmnl,abd,abl,1
4,abdominal,abdo,bdmnl,abdo,abdl,1
5,abdominal,abdol,bdmnl,abdom,abdol,1
6,abdominal,abdoml,bdmnl,abdomi,abdoml,1
7,abdominal,abdomal,bdmnl,abdomin,abdomil,1
3,abduction,abd,bdctn,abd,abn,1
4,abduction,abdn,bdctn,abdu,abdn,1
5,abduction,abdcn,bdctn,abduc,abdun,1
6,abduction,abdctn,bdctn,abduct,abducn,1
7,abduction,abductn,bdctn,abducti,abductn,1
3,abolishing,abg,blshng,abo,abg,1
4,abolishing,abog,blshng,abol,abog,1
5,abolishing,abohg,blshng,aboli,abolg,1
6,abolishing,aboshg,blshng,abolis,abolig,1
7,abolishing,abolshg,blshng,abolish,abolisg,1
8,abolishing,abolshng,blshng,abolishi,abolishg,1
3,abolition,abn,bltn,abo,abn,1
4,abolition,abon,bltn,abol,abon,1
5,abolition,abotn,bltn,aboli,aboln,1
6,abolition,aboltn,bltn,abolit,abolin,1
7,abolition,abolton,bltn,aboliti,abolitn,1
3,abolitionist,abt,bltnst,abo,abt,1
4,abolitionist,abot,bltnst,abol,abot,1
5,abolitionist,abost,bltnst,aboli,abolt,1
6,abolitionist,abolst,bltnst,abolit,abolit,1
7,abolitionist,aboltst,bltnst,aboliti,abolitt,1
8,abolitionist,aboltnst,bltnst,abolitio,abolitit,1
9,abolitionist,aboltnist,bltnst,abolition,abolitiot,1
10,abolitionist,abolitnist,bltnst,abolitioni,abolitiont,1
3,abolitionists,abs,bltnsts,abo,abs,1
4,abolitionists,abos,bltnsts,abol,abos,1
5,abolitionists,aboss,bltnsts,aboli,abols,1
6,abolitionists,abosts,bltnsts,abolit,abolis,1
7,abolitionists,abolsts,bltnsts,aboliti,abolits,1
8,abolitionists,aboltsts,bltnsts,abolitio,abolitis,1
9,abolitionists,aboltnsts,bltnsts,abolition,abolitios,1
10,abolitionists,aboltnists,bltnsts,abolitioni,abolitions,1
11,abolitionists,abolitnists,bltnsts,abolitionis,abolitionis,1
3,abominable,abl,bmnbl,abo,abe,1
