original,abbreviation,count
perversity,perv,1
villainous,villnus,1
claimants,CLMNTS,1
clintons,cntns,1
evaporate,evap,1
fingerprints,fingprts,1
practiced,prctcd,1
industrial,ndstrl,1
deliberation,dlibatn,1
conjectures,cnjctrs,1
minimalism,minimi,1
violates,viol8s,1
preferable,pref,1
disallowed,dsallwd,1
viewpoint,vwpt,2
misunderstanding,misundg,1
countryside,cntrysid,1
unsympathetic,UNSYM,1
neurotransmitters,neutrans,1
appreciate,appr,1
mountainside,MNTNSIDE,1
chandler,chndlr,2
advocating,advoc.,1
youngstown,yngstwn,1
individualistic,indvduallistc,1
existing,exing,1
deployed,dplyd,1
seventeen,17,1
ingredients,ingrd.,1
wisconsin,wisc,2
contiguous,kontiguse,1
periodicals,prdcls,1
countertop,cntrtop,1
swallowed,swallwd,1
exploration,exploration,1
attaching,atachng,1
catalina,catal'a,1
brighten,brigtn,1
putative,ptativ,1
exasperated,xaspert,1
newlyweds,nwlyweds,1
monolithic,mnlthc,1
mixtures,mix,1
frequent,fqt,1
adventurers,adventu,3
insistent,insistnt,2
speedily,spdly,1
flaunting,flntg,1
molested,mlstd,1
comforting,comfrtng,1
chechnya,chcnya,1
acclaimed,accmed,1
empirically,emprcly,1
handpicked,hdpk,1
unscheduled,unschd,1
adroitly,adro,1
ballparks,ballpks,1
benefactors,benfacts,1
deranged,der'd,1
immobile,immob,1
homilies,homles,1
imparting,mprtng,1
trustworthy,tstwty,5
eradicated,eradctd,1
maintenance,maintnce,1
unsightly,unsghtly,2
satisfactorily,satsfctorly,1
staunchest,staunch'st,1
networking,ntwking,1
modernizing,modenizin,1
succeeding,sucedng,1
unfinished,ufsd,1
adhesive,adh,1
traditionalists,trad'ists,1
nakedness,nkednes,1
planners,plnnrs,1
documentation,dcumntation,1
strangest,strangy,1
extracurricular,xtrcrriculr,3
analyzes,axs,1
barrington,brrgt,1
factions,fctons,1
sympathetic,smpthtc,1
traditionalists,trads.,1
harmonica,hrmnca,1
temperatures,tem,1
shrubbery,shrb,1
emphasize,emphsze,1
assortment,assrt,1
dyslexia,dyslexia,1
thematically,themtcly,1
chrysler,chryslr,1
mariners,marins,1
straddle,STRDL,1
cultivars,culti,1
detachment,dtchmnt,1
twenties,TWNT,1
passageway,Pasagwy,1
overheating,ovhtg,1
educationally,educati,5
schoolchildren,sc ch,1
untested,utest,1
matchbox,matchbox,1
velocities,velocitis,1
metaphors,mtphs,1
newtonian,newt'n,1
therapist,pist,1
aberrant,abernt,1
mountainside,mntsde,1
snatching,sntchng,1
commonly,comnly,1
evacuees,evacs,1
fisheries,fhs,1
infrared,infrad,1
irresistible,irrez,1
articulates,Atclates,1
panoramic,pnrmc,1
subtitled,sbttld,1
pittsburg,ptsbrg,2
thievery,thvry,3
revisions,revizns,1
variability,vrblty,1
suspensions,sspnsn,1
tempting,tmtng,1
misidentified,mzid'd,1
resources,resores,1
monumental,mont,1
secondarily,secndrily,1
polluter,pollutr,1
cripples,CRPL,1
merchandising,mrchndsng,2
stragglers,strglrs,2
innuendo,innuend,1
screenwriters,scrnwrtrs,2
progressively,prgrssv,1
internationally,internat.,1
wellesley,wellsly,1
approximated,approx'd,1
antiaircraft,ntiarcrft,1
feinberg,fnberg,1
expectancy,xpctncy,1
cumulative,Cumltv,1
adrienne,adrine,1
nineteenth,nntnth,1
duration,dratn,1
appleton,app-ton,1
marrying,mrring,1
investigation,invstgtn,1
professors,prof,8
indefensible,ndfnsbl,1
kindergarten,kndrgrt,3
releases,rlss,1
manipulation,mnpltn,2
distracting,distraking,1
attendees,attndees,1
circulation,cilat,1
exploratory,exploy,1
responders,rspndrs,1
roethlisberger,rotlsbeger,1
bursting,brstng,1
unsurprising,unsrprsng,1
protocol,prtocl,1
fulfills,ffills,1
schreiber,shber,1
wrestlers,Wrestlr,1
reconstitute,recon,1
restless,rtls,1
fascinates,fascin8s,1
reversing,rversin,1
bewildering,bwdig,1
enterprises,entrpris,1
leadership,ldrship,1
delicate,delct,1
philandering,phlndring,1
professors,profess,5
subtests,sbtxts,1
peephole,pphole,1
snowball,Snbll,1
subsidizing,sbsdzng,1
subdivisions,Sbdvsn,1
scavenger,"to vote the garbage use the dumpster ,scavenge",1
hallowed,halwd,1
julianne,jul,1
untested,untstd,1
supplanted,supplant,1
facetious,facetis,1
preconceptions,reconcpton,1
watermelons,wtrns,1
commissary,cmmssary,1
sheepskin,Skiing,1
conducive,condcv,1
unpacking,Unpkgn,1
rejecting,rejctng,1
inexperience,inxp,1
unpleasantness,unplsnt.,1
jostling,joling,1
submerged,submrg'd,1
dissolving,dislvng,1
accomplished,accplshd,1
exploration,xplration,2
smithsonian,smtsonun,1
convoluted,cnvultd,1
meridian,mrdn,1
caucasian,cacn,1
reconstitute,rconsttute,1
unnerved,unnrvd,1
deformity,dfmty,1
nanosecond,nnsec,1
surgeries,Srgrys,1
incoming,incomg,1
bellingham,belnghm,1
stewardship,Stewardshp,1
subatomic,s-atmc,1
converters,conv,1
creosote,COST,1
ailments,alemnts,1
unreliable,urliab,1
nightclubs,NC,1
incredibly,incre,1
crystals,crystal,1
attribute,attrib,1
paranoid,prnd,2
gerontology,Grntology,1
mitochondrial,mtochndrial,1
instances,instcs,1
predicated,prdctd,1
illusion,ilusn,1
germanic,GM,1
facsimile,fcsmle,1
unproductive,unprdctve,1
attaches,aches,1
generals,gens,1
honorable,hnrble,1
checkered,chechrd,1
indefensible,Indfsbl,1
outlying,outlyng,1
overhauled,service,1
colonization,colniztn,2
armaments,armmts,1
forerunner,forrnr,1
characterize,c'terize,1
attributed,attrbted,1
newborns,nwbns,1
echelons,e-leon,1
materialize,matze,1
earnings,erngs,1
emissaries,emsss,1
trapdoor,TRPDR,1
cleanliness,clenlins,1
adirondack,adrndck,1
rostenkowski,rstkski,1
tiredness,trdnss,1
carefree,crfre,1
underlining,underlin,1
contradictory,cntrdictry,1
hydrocarbons,hd,1
suspense,SUSP,1
multilateral,multeral,1
warriors,wariors,1
freshness,frshnss,1
inexhaustible,nxhstbl,1
wildness,wldnss,1
terrible,terbl,1
deductible,dductbl,1
atmospheric,atmosphrc,1
salacious,sal,1
persecution,pers'n,1
predation,predton,1
appointments,apptmnts,1
thunderbolt,thndrblt,2
barrymore,brymr,1
sprinted,sprntd,1
excommunicated,excmcad,1
conceived,CONVED,1
nightmarish,nightmare,1
financing,finng,1
commercials,cmmcls,1
eggplant,eggplnt,1
marlboro,boro,1
repulsed,rplsed,2
compartment,cmprtmnt,3
cataloged,catloged,1
itineraries,itnrs,1
monogamy,monog,1
uplifted,upliftd,1
involving,ivlv,1
ironically,irncally,1
deprivation,dprvn,1
merchandising,mrcdg,1
prospecting,prsp,1
assailant,assnt,1
magnificence,mgnifcen,1
analytically,antlly,1
suspected,Suspctd,1
formation,frmatn,1
airlines,ARLES,1
infrequently,infrqntly,2
inaugurated,ingt,1
fecundity,fecundty,1
annoying,nnyng,1
referred,ref,1
detected,detctd,1
challenger,cllgr,1
searched,sched,1
cooperatively,cooprtvyly,1
kimberly,kmbly,1
mickelson,mklson,1
princeton,prnctn,1
stretcher,strchr,2
impregnated,mprgntd,1
polished,pol,1
camcorders,camcdrs,2
martyred,mrtyred,1
adventurers,advntures,1
disintegrates,disint,1
inflammation,inflamn,1
shilling,shlg,1
editorial,edi,1
inflammation,inflamm,1
administrations,admnsttns,1
spontaneity,spt,1
stifling,stflng,1
verdicts,verd,1
treaties,teties,1
diverging,divrgng,1
uncommitted,uncomtd,1
confuses,Cnfses,1
undetected,ndtectd,1
paranoia,parnia,1
playfulness,playflnss,1
immunity,imunity,1
foolproof,flpr,1
fragility,frglty,2
misconduct,mscndct,1
atrophied,at,1
recalcitrant,recalcnt,1
embargoes,mbrgos,1
philosophies,philosophies,1
collisions,collis,1
scrubbing,scrbbin,1
hercules,hcla,1
sympathetic,sympthtc,1
winnipeg,winipeg,1
familial,Fmlal,1
twenties,20's,1
metaphorically,mtaphrclly,1
crosshairs,crshrs,1
preparations,preps,2
deflected,dfctd,1
internally,ntrnally,1
handheld,HH,1
internationally,intnly,7
expressionless,expsinls,1
institutionalize,instl,1
registers,reg,1
representatives,rprsntts,1
progression,prgrssn,1
urbanized,urbnzd,2
processed,prcssed,1
grassland,gsland,1
intended,int'd,1
bragging,brgng,1
conceptually,cnceptly,1
additives,adds,1
cascaded,Cscded,1
eviction,evctn,1
speedily,spdily,1
chugging,chug,1
resiliency,rsslncy,1
mailings,mlngs,1
acceleration,acc.,1
policeman,plcmn,1
patching,ptchng,1
talkative,tlktve,1
exponentially,xponentlly,1
exterminated,etmd,1
claimants,clmants,1
straightforward,easy,1
announcement,announcmt,1
sarajevo,sarjvo,1
alderman,aldm,1
cripples,crppl,1
electrode,elctrode,1
meetings,mtings,1
hundredth,hddt,1
counterattack,Co/att,1
separatists,sprtists,1
hawthorn,htrn,1
unsettled,ustld,1
obscurity,scurity,1
epitomized,eptmz'd,1
manufacturing,manring.,1
bavarian,bvran,1
crinkled,crkl,1
overwork,o'work,1
mulberry,Mbry,1
refineries,rfns,1
pictured,pictd,1
enveloping,envlpng,1
tribalism,tribalm,1
carriers,crrs,1
synthesizers,SYNTHSZRS,1
flattened,flattnd,1
operative,op've,1
handshakes,hndshk,1
enrollments,nrlmnts,1
citizenry,ctnzry,1
unsteady,ustdy,1
reflecting,reflctng,1
activists,actvts,1
inhaling,inhl,1
geopolitical,geopo,2
unpatriotic,unptc,1
militancy,mltancy,1
