original,abbreviation,count
perversity,perv,1
stimulate,stmlate,1
industrial,ndstrl,1
instrumentation,instrumntation,1
extracurricular,excurr,1
flinging,flingg,1
instructional,instnal,1
individualistic,indvduallistc,1
experiments,expnts,1
strutted,strtd,1
ministerial,ministrl,1
exploration,exploration,1
catalina,catal'a,1
intrepid,intrpd,1
brighten,brigtn,1
multitude,mtd,1
mechanized,mech,1
connelly,cnly,1
monolithic,mnlthc,1
adventurers,adventu,3
enrollments,enroll,1
academically,acadclly,1
transmissions,trnsmss,5
appreciating,appr,1
homemaker,homemkr,1
empirically,emprcly,1
communicator,commctr,3
numerical,numrcal,1
opposition,oppostn,5
wachovia,wchovia,1
imparting,mprtng,1
trustworthy,tstwty,5
freelance,frlance,1
atmospheric,astmphrc,1
staunchest,staunch'st,1
mechanically,mechly.,1
egregious,egreg,1
unequivocally,Uneqivcly,1
colonization,colon,1
playgrounds,PLAY,1
displaced,Displc,1
traditionalists,trad'ists,1
chesapeake,chesapeak,1
diocesan,diocesn,1
reassuring,Ressring,1
graduation,gradtn,4
concerto,cncrto,1
schoolchildren,shlchilden,3
tradeoff,trdoff,1
dissolving,dsvng,1
kennedys,kenndys,1
interdependent,ntrdpdnt,2
industrialized,ind.,1
trustworthy,trstwthy,1
passageway,Pasagwy,1
provided,providd,1
educationally,educati,5
circumstance,crnmstn,5
librarians,librs,1
interstellar,intrstl,12
congresswoman,cngswom,1
constitution,const,10
lightweight,ltwght,1
umbilical,Umbcl,1
panoramic,pnrmc,1
scripted,scrpted,1
silenced,slncd,1
thievery,thvry,1
expeditions,expdtns,4
locomotive,lcmtv,2
obligatory,oblgy,1
suspensions,sspnsn,1
mulberry,Mubrry,1
obituary,obit,1
dwellers,dwlrs,1
thermonuclear,thermnuc,1
stragglers,strglrs,1
decentralized,decentr,6
mcfadden,Faden,1
screenwriters,scrnwrtrs,1
internationally,internat.,1
shanghai,shnghai,1
distributors,distrbtors,1
crackdown,crckdn,1
professors,prof,8
blackmail,blckml,1
kindergarten,kndrgrt,3
inspected,nspctd,1
manipulation,mnpltn,2
accelerating,acclg,1
attendees,attndees,1
circulation,cilat,1
photogenic,Phtgnic,1
unsurprising,unsrprsng,1
fulfills,ffills,1
wrestlers,Wrestlr,1
reconstitute,recon,1
undergraduates,undergdts,1
splitting,splttng,1
socialization,Socilztn,1
brochure,brchr,1
antiaircraft,ntiarcrft,1
comprehensive,wide,1
nonreligious,nonrel,1
gigantic,ggntc,1
interdependent,intdpnt,1
ironically,irncally,1
pineapples,pnapp,1
sidekick,sdkck,1
colonization,clnoztion,1
unpacking,Unpkgn,1
electrical,electri,2
unpleasantness,unplsnt.,1
figuring,fig'ng,1
honoring,honrng,1
exploration,xplration,2
acceleration,accel,4
sorbonne,srbn,1
khamenei,kha,1
gratuitous,grtts,1
academically,acadlly,3
unreliable,urliab,1
incredibly,incre,1
crystals,crystal,1
measurements,measrmnts,4
paranoid,prnd,1
approvingly,apprvngly,1
recognised,Regnisd,1
manipulation,manption,1
caltrans,c-trans,1
colonization,colniztn,2
jurisprudence,jurispr,7
acceleration,pelt,5
realization,realztn,1
schoolchildren,schchln.,1
emissaries,emsss,1
frenchmen,frnchmn,1
detective,dtctv,1
extracurricular,xtracular,5
carefree,crfre,1
underlining,underlin,1
ferociously,Ferocisly,1
warriors,wariors,1
terrible,terbl,1
multifaceted,multfactd,4
dismounted,Dsmntd,1
atmospheric,atmosphrc,1
geopolitical,geopolit,1
manufacture,mftr,2
hangovers,hngvrs,1
enrollments,enrllmn,2
experiments,experim,5
faltered,fltred,1
thunderbolt,thndrblt,1
somberly,smbrly,1
observatory,obsrty,1
confines,Confnes,1
repulsed,rplsed,1
compartment,cmprtmnt,2
itineraries,itnrs,1
bedeviled,bdvld,1
untapped,untapp'd,1
emperors,wmprs,1
vocational,vocal,1
profiling,profl'ng,1
reloading,rld,1
enrollments,enrlmnts,7
judicial,jdcl,1
parliamentary,parliamntry,2
fillmore,filmo,1
perennial,prnl,1
briefcase,brfcs,1
ethicist,ethst,1
unabated,unbtd,1
industrialized,indtlzed,2
democratization,democratiz,1
exploration,explrtn,6
meteorological,mtrlgcl,14
verdicts,verd,1
instructional,instrctional,2
declaring,dclrng,1
instinctual,instc,1
socialization,sociali,15
musician,mscn,1
foolproof,flpr,1
meredith,mrdth,1
applicability,aplb,1
decentralized,dcntrlz,5
industrialized,indstrlzd,2
supersonics,supsnic,1
collisions,collis,1
dateline,Dateln,1
involving,invlvng,1
mechanically,mechani,4
undertaking,udtkg,1
astronomer,astrnmr,1
parliamentary,prlmntr,12
benighted,bkgtd,1
manipulated,manpltd,1
automotive,automtv,2
congresswoman,congressw,1
salutary,sltry,1
ultralight,ultrlgt,1
screamed,scrmd,1
circumstance,circstnce,1
internationally,intnly,7
experiments,expts,1
combustion,comb,6
falsetto,flsto,1
beckoned,beknd,1
combustion,comstion,1
bragging,brgng,1
stapleton,stpltn,1
legendary,legy,1
squandering,sqndrng,1
grandeur,grndur,1
acceleration,acc.,1
exasperated,Exaspratd,1
suggestively,sggstvely,1
neurology,neuro,1
princeton,prnceton,1
murderous,mderous,1
pancreatic,pncretc,1
educationally,edctnlly,1
constellations,cnstlatn,1
manufacturing,manring.,1
nationals,nationls,1
symbiotic,symbiotc,1
atmospheric,atmospheric,2
experiments,exmts,2
constitute,constoot,1
operative,op've,1
obedient,obnt,1
enrollments,nrlmnts,1
wisecracking,wisec'kng,1
geopolitical,geopo,2
interstellar,inst,1
insurgencies,insrgs,1
militancy,mltancy,1
flopping,flppng,1
belittling,blttlng,1
modulate,mdlate,1
horsepower,horsepo,1
socialization,socilzatn,2
internationally,intly,1
explorations,explor,2
march/april,mar/apr,1
accelerating,acclting,4
expeditions,xped,4
mechanical,mechncl,1
binocular,Binculr,1
academically,academi,5
industrialized,indlized,3
trustworthy,tswy,1
showplace,Shwplce,1
internationally,internly,1
comprehension,comp.,1
ominously,omi,1
theological,tlogical,1
industrial,indtrial,4
stratosphere,stra,1
interstellar,instlr,2
alternating,altnt,1
emissary,emss,1
compartment,compart,5
compartment,compartment,1
obsidian,obs,1
manipulation,manplton,1
experiments,exper,6
extracurricular,xtrcrriculr,3
mounting,mntng,1
echelons,Echlons,1
auerbach,aurbsh,1
rezoning,zoning,1
iroquois,irqus,1
congresswoman,congrss,1
personas,p'snas,1
distinctive,dstnctv,1
confession,cnfssn,1
adventurers,advntrs,11
observatory,obsvtry,2
internationally,internationally,1
passages,Pssges,1
expeditions,expedns,1
academically,acdmcly,1
solemnity,Slmty,1
dictatorship,tyranni,1
martians,Mrtans,1
hypnotized,hpntzd,1
armistice,armist,1
mountain,mntain,1
thoroughfares,Thurghfrs,1
professors,profs,10
whispers,whsprs,1
attaching,att'ng,1
manufacture,manufac,10
deprivation,dprvtn,1
theological,thelgicl,5
dumbstruck,dmbstrck,1
circumventing,crcmvntng,1
multinationals,mltntnls,1
archaeology,Archlogy,1
exploration,explora,4
interstellar,intstlr,1
boutique,botq,1
medalists,mdlist,1
exacerbated,excbtd,1
guerrilla,gurla,1
perceptible,percep,1
pipelines,Piplns,1
circumstance,crcmstance,1
forwarding,fwdg,1
switched,swit,1
repealed,rpeld,1
kindergarten,kindrgarden,2
increment,incr,1
vaseline,Vasln,1
filmmaker,flmker,1
academically,acdmcll,6
handshakes,hanshak,1
exploration,explor,1
seatbelt,stblt,1
experiments,xpmts,4
premodern,premo,1
sunflower,sunflowr,1
opposition,opp'n,4
comprised,cmprisd,1
clinicians,clincns,1
contiguous,kontiguse,1
extraterrestrial,et,21
degenerate,degen,1
predation,prdtn,1
transportation,trans,6
wildcats,wildc'ts,1
extracurricular,xtraclar,1
empathetic,mptht,1
ibuprofen,ibpfn,1
encouragingly,encgly,1
waterfowl,H2Ofowl,1
vernacular,vrnaclr,1
sailboat,slbt,1
kindergarten,kinder,4
assemblies,asemblee,1
manufacturing,manu,1
utilized,utlzed,1
shortfall,srtfl,1
freebies,frbees,1
pretends,prtnds,1
university,unity,3
bypassing,bypass'g,1
relocation,rlctn,1
procedures,prcedures,1
waterman,waterm.n,1
internationally,intern,2
fractions,Fracs,1
warranted,warnt,1
university,unvrsty,3
patronizing,ptrnzing,1
meteorological,meteological,1
perceived,pcvd,1
congresswoman,congwoman,1
signalled,signaled,1
microorganisms,microorgs,3
manufacture,manu,5
primitive,prmtv,1
talkative,talk,1
collectible,Cllectble,1
disquieting,disqtng,1
university,univers,1
bombarded,bmbar'd,1
attributes,attbs,1
acceleration,accel'ation,1
instrumentation,intr'tation,1
applicants,Aplcnts,1
beginnings,bngg,1
comprehension,comp'n,1
unproductive,nprductv,1
mosquitoes,mosqto,1
permitted,Permitd,1
expeditions,trip,1
schoolchildren,schchdrn,3
siberian,sibrn,1
charitable,Chrtbl,1
auctioning,aktiing,1
counterbalance,cntbal,1
observatory,observa,1
accelerating,acclrtg,2
sensibly,snsbly,1
thematically,thmtly,1
implicating,mplctng,1
dealership,dlrshp,1
accelerating,acclrtn,7
microorganisms,mcrrgns,8
refining,refng,1
treasure,Tresur,1
disintegration,distg,2
middlebury,mddbury,1
contends,cntnds,1
armenian,armnian,1
silhouette,slhett,1
headwaters,hdwtr,1
undergraduate,undergr,3
manipulation,manip,6
equation,Eqatn,1
windshield,windshi,1
censured,cnsrd,1
instructional,instruc,3
florists,flrsts,1
fluctuate,Flcate,1
investment,invstment,4
internationally,tianlly,1
expeditions,exped,7
prepared,p'pard,1
extraterrestrial,extrtrr,4
inconsiderate,incnsdr8,1
dictatorship,dictato,5
degraded,dgrdd,1
interstellar,intstel,2
combustion,combtn,3
indefatigable,indftgble,1
cheekbones,cheekbns,1
circumstance,circums,6
compartment,comprtmnt,1
attended,attnded,1
coattails,coatails,1
compartment,cmptmnt,2
bitterness,btrnss,1
jurisprudence,jurisprud,1
transmissions,transmsn,1
brezhnev,brznv,1
constitution,constit,8
illegitimacy,illgtm,1
nanosecond,nscnd,1
investigates,invstgates,1
possibilities,posbts,1
paraffin,prfn,1
offensive,offend,1
undertaking,undrtkn,8
jurisprudence,juri,1
localized,loca,1
jurisprudence,jury,1
flogging,flg,1
socialization,socialaz.,1
grasshopper,ghpr,1
instructional,instrctnl,3
undergraduate,undrgrd,10
instructional,instruct,1
outlived,Otlv,1
constructivist,constructiv'st,1
instrumentation,instrmntatn,3
spinster,spnt,1
assignments,assigmts,1
sprinkled,sprnkled,1
paradise,Pards,1
