original,abbreviation,count
undisturbed,undstrbd,1
unequaled,ueqld,1
egregious,egreg,1
stimulate,stmlate,1
churches,chchs,1
indefatigable,indftgble,1
cracking,crkng,1
cheekbones,cheekbns,1
painfully,painf'y,1
cluttered,Clutrd,1
climbing,clmbing,1
coattails,coatails,1
incinerated,incinratd,1
brazenly,brazly,1
fabulously,fbsly,1
unleaded,unl,1
bitterness,btrnss,1
defamation,dfmtn,1
descending,Dscendng,1
stapleton,stpltn,1
hypothesize,hyptsz,1
readying,rdying,1
worldview,wodvi,1
humanize,humnze,1
deciphered,Deciferd,1
palpable,plpble,1
strutted,strtd,1
migrating,migrat.,1
apologies,plgys,1
unsympathetic,Unsymtetic,1
entitlement,entime,1
profanity,pfnty,1
releases,rleases,1
catalina,catal'a,1
vagueness,vaguenss,1
galleria,gllra,1
detective,dtctv,1
illegitimacy,illgtm,1
mechanized,mech,1
relativism,relatvism,1
passages,Pssges,1
dramatically,drmtclly,1
saxophone,sax,1
painterly,paintrly,1
investigates,invstgates,1
possibilities,posbts,1
paraffin,prfn,1
painstaking,painstkng,1
tiresome,tirsm,1
pardoned,pard,1
strikeout,strike,1
totality,totlty,1
localized,loca,1
crosshairs,crosh,1
signature,sig.,1
appreciating,appr,1
modulate,mdlate,1
homemaker,homemkr,1
empirically,emprcly,1
bathrooms,bthrms,1
recurrent,recur't,1
flogging,flg,1
sprinkled,sprnkled,1
wachovia,wchovia,1
warheads,wrhds,1
imparting,mprtng,1
restroom,wstrom,1
freelance,frlance,1
staunchest,staunch'st,1
protective,prtv,1
underlining,underlin,1
refreshing,rfrshng,1
unequivocally,Uneqivcly,1
outlived,Otlv,1
constructivist,constructiv'st,1
unheeded,Unhded,1
spinster,spnt,1
indictments,Indcmts,1
playgrounds,PLAY,1
ceaseless,cesls,1
displaced,Displc,1
developer,Devlpr,1
chauncey,choh,1
traditionalists,trad'ists,1
chesapeake,chesapeak,1
diocesan,diocesn,1
paradise,Pards,1
witnessing,WTNing,1
statements,stmts,1
soulless,soules,1
shortens,shrtn,1
july/august,jul/aug,1
experiential,xperinaton,1
copernicus,Copnicus,1
celestial,Celestl,1
encouraged,encgd,1
sparrows,sprow,1
masterpieces,Mstrpies,1
mcfadden,Faden,1
cavities,cavit's,1
tradeoff,trdoff,1
operandi,oprndi,1
musician,mscn,1
thinness,thnnss,1
happiest,hpst,1
kennedys,kenndys,1
passageway,Pasagwy,1
utterance,uttrance,1
discharge,Dischrg,1
houghton,htn,1
provided,providd,1
shanghai,shnghai,1
forgiving,frgvng,1
partnerships,partnshps,1
jonesboro,jnsbr,1
playwright,pwrg,1
uninvolved,uninvlvd,1
virginia,virg.,1
cringing,crng,1
bicycles,byckol,1
floundering,flud,1
lightweight,ltwght,1
edmonton,edmntn,1
sledding,sled,1
confiscation,confscation,1
umbilical,Umbcl,1
nineteenth,Nintnth,1
wellesley,wellsly,1
winemaker,wnmkr,1
visualization,viz,1
starship,strshp,1
mosquitoes,mosqto,1
calculus,calc,1
orchestras,orchstr,1
scripted,scrpted,1
distinctly,dstctly,1
mccartney,mcartny,1
silenced,slncd,1
dartmouth,drtmth,1
julianne,juliane,1
thievery,thvry,1
consensus,consen.,1
cambodia,cmbd,1
oftentimes,oftntms,1
discontinued,dscntd,1
obligatory,oblgy,1
skinheads,skhe,1
suspensions,sspnsn,1
motorcycle,mtrc,1
appalachians,applchns,1
deletion,dltn,1
